price,high,percentchange,symbol,open,low,relvolume,watchers,hourchange,sentiment
458.65,459.96,0.7468,NOC,459.09,455.23,0.2231,8013,0,-3.57
276.44,281.4589,-1.472,MSFT,280.5,275.52,0.4968,442420,4,0.18
266.0014,269.94,-0.6679,NVDA,268.37,263.6501,0.516,420363,5,-0.88
202.33,205.86,-1.7863,META,204.81,201.37,0.3575,512176,1,0.08
195.95,200.21,-0.0204,ENPH,199.36,191.61,0.4348,37293,2,-0.49
192.3118,197.39,0.9988,TSLA,194.415,189.94,0.4972,889463,3,-0.1
158.285,160.77,-1.2262,AAPL,159.94,157.87,0.4334,876585,11,0.37
129.725,129.82,3.5398,IBM,126.47,126.47,0.6433,51335,0,1.25
128.72,129.0,3.0502,JPM,126.79,126.29,0.8575,82424,6,-3.73
118.895,119.4,-0.1134,EA,118.9,118.14,0.3458,20718,0,0.0
102.543,104.76,-2.7475,GOOGL,104.615,101.9273,0.4681,159783,9,-0.14
97.86,99.335,-0.2751,AMZN,99.07,97.08,0.4125,587194,0,-0.79
96.6397,98.93,-1.3377,AMD,98.02,95.425,0.6462,456266,3,-1.5
86.7275,87.38,-0.9168,SONY,87.12,86.33,0.7661,2081,0,0.0
29.43,29.73,0.2384,INTC,29.37,29.08,0.412,130888,3,1.2
7.705,8.3686,-5.9219,CVNA,8.35,7.57,0.203,23426,2,-0.77
5.835,5.88,1.6551,SOFI,5.82,5.73,0.4055,91733,3,-0.15
4.4,4.5,-1.566,AMC,4.51,4.3,0.316,411970,-6,0.06
