symbol,low,relvolume,price,open,high,percentchange,watchers,hourchange,sentiment
NOC,459.45,0.2432,459.665,462.98,463.4,-0.2853,8026,0,0.0
MSFT,283.03,0.5287,287.19,283.73,287.25,1.1054,442653,11,3.21
NVDA,271.05,0.6332,276.31,271.4,278.34,0.9057,420625,17,5.53
META,206.77,0.5136,210.28,207.24,210.54,1.174,512341,11,6.72
ENPH,205.81,0.4279,208.56,206.02,212.12,1.6028,37334,0,-0.22
TSLA,197.23,0.797,207.0511,197.53,207.4,6.0278,889848,22,8.42
AAPL,162.13,0.4798,164.22,162.44,164.24,1.1456,876824,9,5.37
IBM,129.42,0.3289,130.44,129.47,130.6,0.9441,51346,0,-0.09
JPM,128.8514,0.519,129.56,129.66,130.01,0.6291,82488,1,-0.83
EA,118.985,0.4681,119.95,119.38,119.985,0.7137,20709,0,-12.5
GOOGL,101.05,0.4678,102.98,101.3,103.25,2.0716,159928,5,4.67
AMZN,101.95,0.4796,102.845,102.16,103.29,0.8284,587477,9,2.16
AMD,95.27,0.6827,97.735,96.34,97.975,-0.1481,456396,4,3.59
SONY,89.79,1.1488,90.535,89.77,90.88,1.3716,2083,1,0.0
INTC,31.74,0.8001,32.675,31.8,32.8998,1.823,131091,5,-0.02
CVNA,8.77,0.3759,9.425,8.9,9.49,6.7384,23358,0,3.0
SOFI,5.67,0.911,6.0589,5.75,6.17,5.9248,91781,1,0.98
AMC,4.87,0.3627,4.9715,4.91,5.055,0.0302,412473,3,-0.05
