high,open,low,percentchange,price,symbol,relvolume,watchers,hourchange,sentiment
128.42,127.37,127.14,0.1642,128.08,EA,0.4493,20706,0,-10.0
270.06,265.655,264.36,0.9119,270.02,NVDA,0.5878,421740,3,-1.27
9.2192,8.91,8.68,1.0033,9.06,CVNA,0.273,23312,1,-0.94
5.3,5.24,5.1301,1.5625,5.2,AMC,0.3666,413213,-1,-1.66
90.69,90.23,88.3,-2.049,89.87,AMD,0.7217,456852,2,-3.06
220.979,219.79,217.13,-1.1874,218.86,META,0.4402,512924,-1,0.31
6.0,5.89,5.81,0.6757,5.96,SOFI,0.6655,91920,0,0.18
140.06,139.95,137.66,0.7929,139.83,JPM,1.0164,82976,1,0.48
165.39,165.09,164.03,0.0121,165.23,AAPL,0.5412,878015,5,2.53
128.72,128.3,126.8,-0.2497,127.82,IBM,0.5124,51378,0,-5.04
189.69,186.32,182.7,1.1027,187.04,TSLA,0.6825,891674,8,0.35
477.68,472.99,471.38,0.4698,474.79,NOC,0.4391,8041,0,3.57
106.155,104.658,104.52,-2.6637,105.97,GOOGL,0.816,160537,5,-12.05
32.64,31.95,31.77,0.7839,32.14,INTC,0.5168,131274,0,4.41
91.23,90.55,90.35,0.3192,91.15,SONY,0.9083,2088,0,0.0
291.58,289.93,286.2,0.9296,288.8,MSFT,0.6118,443559,5,2.92
229.23,215.0,214.7801,7.6687,224.92,ENPH,1.7249,37477,1,3.52
103.73,103.16,101.59,0.2244,102.74,AMZN,0.5299,588619,6,-0.28
