relvolume,symbol,price,low,percentchange,high,open,watchers,hourchange,sentiment
0.209,NOC,470.355,468.94,-0.8025,471.98,470.55,8041,0,8.57
0.4298,MSFT,285.315,283.69,-1.5612,288.48,287.0,443391,2,0.4
0.5767,NVDA,265.22,262.2,0.223,268.83,265.04,421572,5,-3.35
0.4993,META,220.035,217.56,-0.143,222.11,217.88,512832,-3,-0.62
0.5247,ENPH,206.445,204.67,-1.5475,214.57,209.77,37424,-3,-7.15
0.4325,TSLA,184.15,182.01,-0.9414,186.28,183.95,891409,8,-0.26
0.475,AAPL,164.6817,163.83,-0.5305,166.32,164.59,877847,4,2.09
2.5621,JPM,138.49,134.95,7.3649,139.12,135.15,82940,9,11.6
0.2583,EA,127.685,127.45,-0.4638,128.53,127.98,20706,0,16.67
0.4233,IBM,127.59,127.31,-0.2424,129.84,128.46,51369,-1,1.26
0.3772,GOOGL,108.15,106.88,0.6702,108.245,106.89,160401,7,-1.82
0.5271,AMZN,102.21,101.11,-0.1855,103.2013,102.07,588466,4,1.05
0.4575,AMD,91.335,90.5,-0.8199,92.97,91.82,456768,-1,-0.28
0.4998,SONY,90.82,90.412,0.3647,91.44,90.85,2088,0,0.0
0.3061,INTC,31.7814,31.69,-1.085,32.235,32.0,131237,2,-0.65
0.2737,CVNA,9.035,8.68,-3.5752,9.798,9.47,23332,-1,-0.93
0.4987,SOFI,5.835,5.77,-0.4266,6.03,5.99,91914,0,0.07
0.5564,AMC,5.0758,5.06,-7.0366,5.75,5.74,413226,0,-0.76
