low,high,symbol,relvolume,percentchange,price,open,watchers,hourchange,sentiment
471.38,477.68,NOC,0.3251,0.2317,473.665,472.99,8040,0,8.33
286.2,291.58,MSFT,0.531,0.5627,287.75,289.93,443539,0,1.84
264.36,269.225,NVDA,0.5019,0.3775,268.5901,265.655,421729,6,-1.29
214.7801,229.23,ENPH,1.47,7.9225,225.45,215.0,37465,5,3.35
217.13,220.979,META,0.369,-1.1558,218.93,219.79,512902,4,0.56
182.7,189.69,TSLA,0.6054,0.7081,186.31,186.32,891638,14,0.61
164.03,165.39,AAPL,0.4582,-0.1362,164.985,165.09,878005,7,1.79
137.66,140.06,JPM,0.8517,0.555,139.5,139.95,82968,0,0.57
127.14,128.42,EA,0.3336,0.2033,128.13,127.37,20706,0,-10.0
126.8,128.72,IBM,0.3954,-0.4487,127.565,128.3,51377,0,-3.45
104.52,106.0,GOOGL,0.7296,-2.774,105.85,104.658,160517,7,-11.56
101.59,103.73,AMZN,0.4618,-0.0634,102.445,103.16,588603,0,-1.11
90.35,91.215,SONY,0.7376,0.3632,91.19,90.55,2088,0,0.0
88.3,90.69,AMD,0.6311,-2.158,89.77,90.23,456845,5,-1.85
31.77,32.64,INTC,0.415,0.7996,32.145,31.95,131268,2,3.07
8.68,9.2192,CVNA,0.2287,0.2787,8.995,8.91,23313,0,-1.16
5.81,5.96,SOFI,0.5849,0.4307,5.9455,5.89,91914,3,0.0
5.1301,5.3,AMC,0.315,1.1719,5.18,5.24,413208,-2,-1.23
