symbol,percentchange,low,high,relvolume,price,open,watchers,hourchange,sentiment
NOC,0.1967,469.78,473.7,0.2436,473.7,472.0,8038,0,-8.57
MSFT,1.8265,283.17,288.6864,0.4041,288.6679,283.59,443330,0,-1.86
NVDA,1.2454,263.29,268.869,0.4827,268.2498,267.34,421484,1,-3.59
META,2.7804,215.82,219.96,0.4592,219.95,215.73,512779,1,0.58
ENPH,7.305,198.52,210.965,0.7149,210.35,200.01,37417,0,1.64
TSLA,3.0553,180.94,186.17,0.519,186.0561,182.955,891299,2,-0.14
AAPL,3.0106,161.44,164.96,0.5657,164.92,161.63,877725,-2,0.56
JPM,0.0973,126.84,128.77,0.498,128.625,128.46,82644,3,-7.26
EA,1.435,126.58,128.72,0.2861,127.94,126.58,20703,0,0.0
IBM,-0.6807,126.01,128.0,0.5686,127.665,128.01,51364,1,4.74
GOOGL,2.5325,105.9,107.29,0.372,107.29,105.84,160361,2,-0.48
AMZN,4.3852,98.73,102.19,0.6624,102.12,98.95,588344,16,3.02
AMD,-0.0325,91.83,93.16,0.4583,92.3,92.79,456746,0,2.2
SONY,1.3529,90.0,90.7,0.4131,90.65,90.1,2088,0,0.0
INTC,0.9057,31.65,32.37,0.3097,32.31,31.82,131230,-1,0.87
CVNA,4.2197,9.201,9.76,0.2425,9.6299,9.27,23339,1,0.65
SOFI,2.3196,5.825,5.98,0.3478,5.955,5.91,91918,2,0.63
AMC,3.2472,5.3975,5.66,0.3844,5.5134,5.48,413221,-1,-2.24
