open,high,percentchange,symbol,low,relvolume,price,watchers,hourchange,sentiment
125.13,126.25,0.0478,EA,124.74,0.4521,125.68,20704,0,-10.0
162.35,162.36,-0.7591,AAPL,160.51,0.6091,160.8,877607,2,-3.62
186.69,189.19,1.2357,TSLA,185.65,0.6665,186.79,891147,4,0.32
100.8,100.99,-2.2022,AMZN,99.01,0.8239,99.92,588187,5,-4.92
128.3,128.94,0.4926,JPM,127.54,0.6398,128.52,82602,-2,1.62
9.79,10.85,4.8335,CVNA,9.6,0.7987,9.76,23337,0,11.81
476.12,476.12,-1.7354,NOC,467.525,0.5013,468.27,8038,0,13.33
285.75,285.87,-2.2668,MSFT,281.64,0.7591,282.83,443236,-4,-2.78
5.45,5.63,3.626,AMC,5.25,0.9069,5.43,413173,2,3.79
195.9,199.04,0.5516,ENPH,193.14,0.3554,196.88,37407,-1,-0.45
96.06,96.065,-1.5186,AMD,92.7,0.7947,94.03,456724,1,3.12
106.55,106.73,-1.0241,GOOGL,104.68,0.583,105.35,160326,0,-0.74
32.66,33.11,-0.5228,INTC,32.32,0.4705,32.35,131225,1,-10.5
130.58,131.105,-0.4655,IBM,130.18,0.4743,130.42,51367,0,0.0
89.24,89.49,0.4519,SONY,88.83,0.5067,88.91,2089,0,0.0
5.91,6.02,1.0152,SOFI,5.86,0.662,5.97,91920,2,3.16
277.235,277.89,-1.4866,NVDA,271.26,0.5674,271.69,421378,2,1.58
215.48,216.02,-0.4191,META,213.43,0.4677,213.85,512735,0,-2.83
