open,percentchange,price,relvolume,symbol,high,low,watchers,hourchange,sentiment
98.0,1.8628,97.88,0.8812,AMD,99.53,97.25,456363,-2,-2.75
101.55,1.7456,102.0,0.6777,AMZN,103.04,101.01,587425,-9,3.52
460.46,-0.1278,460.98,0.3938,NOC,462.92,458.5,8023,0,0.0
130.16,-0.3778,129.22,0.5487,IBM,131.48,129.1,51343,-2,8.71
195.58,0.7221,195.28,0.6092,TSLA,197.328,194.42,889744,-1,4.67
8.08,12.1982,8.83,0.5721,CVNA,9.0,8.0748,23366,-1,-5.66
120.0,-0.0755,119.1,0.5217,EA,120.05,118.85,20710,0,5.56
88.7,1.6388,89.31,1.4544,SONY,89.53,88.555,2082,0,0.0
272.29,1.4787,273.83,0.6652,NVDA,274.99,271.02,420571,2,2.95
284.23,1.262,284.05,0.6427,MSFT,284.46,281.5,442599,3,0.17
5.11,-0.6,4.97,0.5325,AMC,5.16,4.865,412474,-2,0.68
161.53,0.989,162.36,0.5827,AAPL,162.47,161.271,876767,-15,3.84
203.38,1.2126,207.84,0.6432,META,208.09,202.85,512298,-4,6.71
129.95,-0.302,128.75,0.7826,JPM,130.12,127.65,82474,-3,1.4
209.435,0.6472,205.27,0.6629,ENPH,214.19,203.96,37320,-1,-2.09
100.91,-0.4931,100.89,0.6807,GOOGL,101.155,99.78,159888,7,3.5
5.87,-0.5217,5.72,0.6344,SOFI,5.93,5.62,91769,0,-1.27
31.85,1.8084,32.09,1.4198,INTC,32.58,31.81,131054,4,5.34
