open,relvolume,price,percentchange,low,symbol,high,watchers,hourchange,sentiment
460.46,0.286,461.27,-0.065,458.615,NOC,462.865,8023,3,0.0
284.23,0.5536,283.2,0.959,281.5,MSFT,284.46,442593,5,2.31
272.29,0.584,273.73,1.4416,271.02,NVDA,274.99,420565,7,2.55
203.38,0.5683,206.97,0.7889,202.85,META,208.09,512294,4,6.27
209.435,0.594,205.54,0.7796,203.96,ENPH,214.19,37319,0,-2.23
195.58,0.5612,195.59,0.882,194.42,TSLA,197.328,889738,4,5.7
161.53,0.5056,162.0189,0.7768,161.271,AAPL,162.47,876775,3,4.67
130.16,0.4378,129.12,-0.4549,129.11,IBM,131.47,51348,0,8.71
129.95,0.6802,128.34,-0.6195,127.65,JPM,130.12,82475,0,3.37
120.0,0.4033,119.0,-0.1594,118.85,EA,120.05,20710,0,5.56
101.55,0.6055,101.8759,1.6218,101.01,AMZN,103.04,587434,7,5.86
100.91,0.5745,100.765,-0.6164,99.78,GOOGL,100.96,159881,2,3.16
98.0,0.788,97.8601,1.8421,97.25,AMD,99.53,456364,4,-4.31
88.7,1.2217,89.35,1.6843,88.64,SONY,89.53,2081,0,0.0
31.85,1.2369,32.1125,1.8798,31.81,INTC,32.58,131055,-4,11.31
8.08,0.5164,8.7005,10.5527,8.079,CVNA,9.0,23366,1,-6.96
5.87,0.5459,5.705,-0.7826,5.62,SOFI,5.93,91775,-2,-0.21
5.11,0.4948,4.8862,-2.276,4.87,AMC,5.16,412490,-4,1.11
