percentchange,price,low,symbol,high,relvolume,open,watchers,hourchange,sentiment
3.2389,7.65,7.02,CVNA,7.9,0.4207,7.21,23303,-5,0.27
1.2836,97.84,95.94,AMD,98.75,1.4973,96.66,455821,-2,-0.24
-2.1724,180.13,177.33,TSLA,186.21,0.6722,184.515,888629,3,1.1
-0.8099,123.69,122.93,IBM,124.52,2.0994,124.08,51324,0,1.4
-0.1585,113.35,112.98,EA,114.0,0.7406,113.65,20735,0,-25.0
1.1694,279.43,276.3201,MSFT,283.33,1.7577,278.26,441748,4,-1.58
-3.7782,125.81,125.46,JPM,128.45,2.2173,128.38,82039,1,4.66
-1.4551,443.6,441.305,NOC,450.16,0.8804,449.81,7998,0,3.41
-4.5479,195.61,195.4304,META,201.9,1.116,200.56,511612,1,-1.09
0.1835,5.46,5.33,SOFI,5.54,0.6642,5.47,91542,0,5.29
-1.0896,98.95,97.455,AMZN,100.65,0.8764,99.79,586546,-6,2.06
-4.7836,4.18,4.1078,AMC,4.34,0.6185,4.3,411723,1,-0.13
-1.226,29.81,29.44,INTC,30.56,1.0943,29.92,130795,0,-4.25
1.2959,101.62,100.1,GOOGL,102.835,1.2376,100.26,159514,-2,1.05
-0.5454,155.0,154.28,AAPL,156.74,0.9896,156.08,875804,-3,4.59
0.1505,86.52,86.18,SONY,87.47,1.0052,87.25,2077,0,33.33
0.7204,257.25,256.68,NVDA,263.99,1.3828,259.82,419192,3,2.58
-8.6822,183.64,181.55,ENPH,200.7,1.684,200.7,37123,6,-3.29
