symbol,price,high,percentchange,open,low,relvolume,watchers,hourchange,sentiment
NOC,470.305,471.98,-0.813,470.55,468.94,0.2462,8041,0,8.57
MSFT,285.1388,288.48,-1.622,287.0,283.69,0.4901,443392,1,-0.01
NVDA,265.72,268.83,0.4119,265.04,262.2,0.6708,421584,12,-3.3
META,220.62,222.11,0.1225,217.88,217.56,0.574,512835,3,-0.44
ENPH,207.94,214.57,-0.8346,209.77,204.67,0.5976,37423,-1,-5.1
TSLA,184.26,186.28,-0.8822,183.95,182.01,0.5042,891413,4,-0.45
AAPL,164.68,166.32,-0.5315,164.59,163.83,0.5572,877851,4,1.19
JPM,138.165,139.12,7.113,135.15,134.95,2.7601,82923,-17,9.41
EA,127.66,128.53,-0.4833,127.98,127.45,0.3134,20705,-1,16.67
IBM,127.47,129.84,-0.3362,128.46,127.31,0.4926,51369,0,1.0
GOOGL,108.475,108.86,0.9727,106.89,106.88,0.4658,160403,2,-1.79
AMZN,102.32,103.2013,-0.0781,102.07,101.11,0.618,588466,0,-0.05
AMD,91.14,92.97,-1.0316,91.82,90.5,0.5237,456770,2,-0.52
SONY,90.815,91.44,0.3592,90.85,90.412,0.5843,2088,0,0.0
INTC,31.765,32.235,-1.136,32.0,31.69,0.346,131239,2,-2.0
CVNA,8.96,9.798,-4.3757,9.47,8.68,0.2982,23330,-2,-1.34
SOFI,5.85,6.03,-0.1706,5.99,5.77,0.5709,91913,-1,-0.28
AMC,5.035,5.75,-7.7839,5.74,4.9,0.7704,413220,-6,-0.28
