high,relvolume,open,price,percentchange,symbol,low,watchers,hourchange,sentiment
205.77,0.7832,196.75,203.95,5.3896,ENPH,191.385,37308,1,-0.62
88.0,1.1442,86.93,87.87,2.3887,SONY,86.74,2084,0,0.0
96.91,0.8339,96.07,96.09,1.618,AMD,94.87,456332,0,-0.21
31.89,1.6683,29.77,31.52,7.6135,INTC,29.789,130911,8,7.05
195.28,0.674,193.13,193.88,2.479,TSLA,189.44,889638,9,0.48
7.9,0.2295,7.47,7.87,6.9293,CVNA,7.37,23365,1,-7.63
119.325,0.4098,118.08,119.19,0.9914,EA,118.08,20708,-1,0.0
281.1398,0.5914,278.96,280.51,1.9184,MSFT,278.41,442530,0,-1.71
161.04,0.6109,159.37,160.77,1.9791,AAPL,159.35,876718,11,-0.3
130.35,0.4977,130.12,129.71,0.2861,IBM,129.18,51343,-1,0.76
205.72,0.5083,203.56,205.35,2.3271,META,202.54,512243,1,0.12
100.4218,0.6207,98.69,100.25,3.0954,AMZN,98.5801,587352,2,1.22
130.22,0.9598,130.1,129.14,0.2017,JPM,127.77,82460,1,-0.93
102.43,0.6183,102.28,101.39,0.3563,GOOGL,100.655,159836,0,4.31
462.58,0.4154,459.38,461.57,0.5599,NOC,457.495,8021,0,25.0
270.77,0.7093,268.25,269.84,2.1734,NVDA,265.97,420470,0,-1.37
5.2084,0.765,5.14,5.0,-2.9126,AMC,4.83,412480,-5,-0.59
5.9199,0.7071,5.69,5.75,2.8623,SOFI,5.65,91762,2,-1.08
