percentchange,open,high,relvolume,price,symbol,low,watchers,hourchange,sentiment
-0.4931,100.91,101.155,0.6807,100.89,GOOGL,99.78,159881,0,3.5
1.8084,31.85,32.58,1.4198,32.09,INTC,31.81,131050,-1,6.04
-0.5217,5.87,5.93,0.6344,5.72,SOFI,5.62,91769,0,-1.27
1.7456,101.55,103.04,0.6777,102.0,AMZN,101.01,587434,-2,4.47
1.8628,98.0,99.53,0.8812,97.88,AMD,97.25,456365,1,-2.53
-0.1278,460.46,462.865,0.3938,460.98,NOC,458.615,8023,0,0.0
-0.3778,130.16,131.48,0.5487,129.22,IBM,129.1,51345,-3,8.71
-0.0755,120.0,120.05,0.5217,119.1,EA,118.85,20710,0,5.56
0.7221,195.58,197.328,0.6092,195.28,TSLA,194.42,889745,9,4.92
1.6388,88.7,89.53,1.4544,89.31,SONY,88.64,2082,0,0.0
12.1982,8.08,9.0,0.5721,8.83,CVNA,8.0748,23367,3,-5.48
1.262,284.23,284.46,0.6427,284.05,MSFT,281.5,442596,0,0.56
1.4787,272.29,274.99,0.6652,273.83,NVDA,271.02,420569,3,4.04
-0.6,5.11,5.16,0.5325,4.97,AMC,4.87,412476,-4,0.76
0.989,161.53,162.47,0.5827,162.36,AAPL,161.271,876782,0,4.8
-0.302,129.95,130.12,0.7826,128.75,JPM,127.65,82477,3,1.17
0.6472,209.435,214.19,0.6629,205.27,ENPH,203.96,37321,0,-2.07
1.2126,203.38,208.09,0.6432,207.84,META,202.85,512302,8,7.1
