relvolume,low,price,open,symbol,high,percentchange,watchers,hourchange,sentiment
0.3175,447.07,448.53,453.79,NOC,454.66,-0.1625,8009,0,0.0
0.6711,269.53,271.59,274.88,MSFT,274.95,-0.2351,441995,-4,0.37
0.8062,253.82,260.56,261.8,NVDA,263.5,0.6023,419531,11,-0.57
0.96,195.44,206.23,196.93,ENPH,208.825,7.1269,37216,1,3.17
0.7313,197.96,201.03,203.2,META,203.515,1.6278,511803,4,1.16
0.646,188.04,196.61,188.28,TSLA,196.79,7.2906,888949,7,-0.36
0.6197,156.54,158.46,157.32,AAPL,159.1,0.6734,876114,-2,1.16
0.8864,130.19,130.715,130.59,JPM,131.73,2.8119,82252,5,0.19
0.3489,125.66,125.92,126.9,IBM,127.08,-0.0159,51324,1,3.26
0.5036,113.11,114.28,113.11,EA,114.91,0.6695,20731,0,25.0
0.7089,101.22,104.335,101.25,GOOGL,105.0996,3.0775,159611,4,-0.94
0.5452,98.0,100.315,98.14,AMZN,100.42,2.6661,586851,1,0.46
1.1499,93.64,95.805,97.0,AMD,99.46,-1.0381,455987,3,-1.5
0.54,88.71,88.99,89.08,SONY,89.29,0.6447,2079,0,0.0
0.8448,27.975,28.305,29.0,INTC,29.165,-2.9321,130847,-1,-0.27
0.2846,7.18,7.765,7.19,CVNA,8.09,9.8303,23282,6,-0.63
0.5472,5.3243,5.575,5.35,SOFI,5.58,6.8008,91589,-3,-0.56
0.374,4.2115,4.38,4.33,AMC,4.445,2.5761,411741,2,0.67
