symbol,percentchange,relvolume,high,open,price,low,watchers,hourchange,sentiment
NOC,1.3287,0.3438,478.12,470.98,476.64,471.57,8041,0,-8.33
MSFT,-0.8882,0.564,289.6,289.208,289.01,284.72,443156,3,-0.89
NVDA,1.9939,0.6504,276.2099,268.23,275.7609,266.69,421301,0,2.51
META,-0.5692,0.3994,215.66,214.71,214.87,210.66,512687,-1,-0.87
ENPH,2.1047,0.3483,195.2,189.09,195.02,188.51,37405,2,-1.82
TSLA,-0.3026,0.7634,185.0994,179.94,184.5,176.11,891036,1,-0.7
AAPL,-1.7885,0.5584,161.86,162.43,161.715,160.08,877519,8,-2.8
IBM,0.3678,0.2973,131.02,129.83,130.98,129.24,51367,0,-2.12
JPM,0.1804,0.4634,128.22,126.54,127.7,126.22,82588,0,-2.58
EA,0.4035,0.2835,125.75,124.79,125.665,123.74,20704,0,8.08
GOOGL,-1.6925,0.536,107.59,106.98,106.585,105.12,160292,4,-0.08
AMZN,-0.1773,0.4508,102.02,100.96,101.879,99.57,588086,7,-0.52
AMD,3.3254,0.6921,95.79,91.32,95.545,91.02,456692,3,7.34
SONY,0.1758,0.3088,88.4,87.76,88.325,87.73,2087,0,0.0
INTC,-0.9906,0.4025,32.76,32.6,32.485,32.2,131216,-4,0.51
CVNA,2.6082,0.2827,9.35,9.0,9.245,8.63,23319,0,1.53
SOFI,2.5217,0.4597,5.92,5.69,5.895,5.66,91904,1,0.46
AMC,7.9571,1.1316,5.37,4.77,5.2899,4.74,413139,-2,0.7
