relvolume,symbol,price,percentchange,low,high,open,watchers,hourchange,sentiment
1.059,INTC,33.1,0.6385,32.85,33.84,32.85,131184,2,2.41
0.702,JPM,128.42,-1.3368,127.41,130.59,130.5,82528,2,7.86
0.5431,AAPL,165.63,-0.325,165.11,166.83,166.595,877176,0,1.42
0.6652,MSFT,287.18,-0.0174,285.67,290.4499,287.23,442887,0,-0.36
0.6103,AMZN,103.95,1.5038,102.11,104.2,102.75,587802,4,2.28
0.3915,NOC,468.1,-0.2323,465.0,471.94,468.73,8034,0,0.0
2.4701,AMC,3.91,-23.4834,3.88,4.45,4.08,412843,4,-5.39
0.5141,GOOGL,104.72,0.345,104.04,105.58,104.33,160050,4,3.96
0.686,NVDA,274.53,-1.8309,273.08,280.0,279.66,420951,11,0.52
1.0756,EA,125.24,3.2056,121.23,125.47,121.43,20707,1,0.0
0.3434,CVNA,9.5,2.2605,8.93,9.72,9.44,23343,2,-2.4
0.5769,META,214.72,0.7744,212.54,216.24,213.39,512522,3,4.64
0.711,TSLA,192.58,-1.1244,190.32,198.7446,197.32,890499,0,0.4
0.6455,AMD,95.87,-0.7146,95.21,97.27,97.038,456543,1,-2.02
0.5043,IBM,131.6,-0.3483,130.89,132.1499,131.99,51358,0,0.0
0.4624,ENPH,202.54,-0.0296,198.65,203.2,202.89,37368,-1,0.49
0.9783,SONY,91.01,-0.3504,90.36,91.145,90.78,2087,0,0.0
0.4678,SOFI,5.89,-2.3217,5.835,6.095,6.1,91854,0,-0.56
