symbol,relvolume,low,percentchange,open,price,high,watchers,hourchange,sentiment
NOC,0.3606,466.03,0.7261,467.43,471.67,474.7299,8038,0,0.0
MSFT,0.6647,281.96,0.2687,284.79,283.59,287.01,443295,7,-1.17
NVDA,0.8068,264.4786,-2.2857,273.7,265.48,274.63,421418,3,4.17
META,0.5093,212.584,0.2525,214.835,214.39,216.84,512754,6,-0.58
ENPH,0.4046,195.89,-0.0965,199.9,196.69,201.26,37406,2,2.01
TSLA,0.8386,180.32,-3.1479,190.74,180.91,191.58,891214,12,0.73
AAPL,0.6071,159.78,-0.4882,161.22,160.015,162.06,877676,1,1.58
JPM,0.597,128.0603,-0.1012,129.18,128.39,130.43,82618,2,3.1
IBM,0.526,128.19,-1.6984,130.4,128.205,130.87,51367,0,-1.0
EA,0.3311,125.82,0.3581,126.28,126.13,127.1812,20701,0,-29.17
GOOGL,0.4666,104.34,-0.6597,106.58,104.655,106.75,160345,1,-0.31
AMZN,0.7183,97.88,-1.8415,100.4,98.08,100.51,588245,2,-2.17
AMD,0.7802,91.74,-1.5633,94.97,92.56,94.995,456743,1,5.29
SONY,0.4349,89.37,0.5849,90.0,89.43,90.4,2089,0,0.0
INTC,0.5251,31.96,-1.0355,32.77,32.015,32.89,131236,-1,-2.33
CVNA,0.5624,8.79,-4.7643,9.79,9.295,10.32,23330,-1,7.63
SOFI,0.924,5.67,-2.2613,6.06,5.835,6.05,91922,2,1.26
AMC,0.7552,5.3715,-0.919,5.62,5.3801,5.74,413221,6,1.07
