high,low,open,symbol,relvolume,price,percentchange,watchers,hourchange,sentiment
100.4218,98.5801,98.69,AMZN,0.6207,100.25,3.0954,587352,2,1.22
205.72,202.54,203.56,META,0.5083,205.35,2.3271,512243,1,0.12
130.22,127.77,130.1,JPM,0.9598,129.14,0.2017,82460,1,-0.93
5.9199,5.65,5.69,SOFI,0.7071,5.75,2.8623,91762,2,-1.08
102.43,100.655,102.28,GOOGL,0.6183,101.39,0.3563,159836,0,4.31
5.2084,4.83,5.14,AMC,0.765,5.0,-2.9126,412480,-5,-0.59
205.77,191.385,196.75,ENPH,0.7832,203.95,5.3896,37308,1,-0.62
270.77,265.97,268.25,NVDA,0.7093,269.84,2.1734,420470,0,-1.37
88.02,86.74,86.93,SONY,1.1442,87.87,2.3887,2084,0,0.0
96.91,94.87,96.07,AMD,0.8339,96.09,1.618,456332,0,-0.21
31.89,29.789,29.77,INTC,1.6683,31.52,7.6135,130911,8,7.05
195.28,189.44,193.13,TSLA,0.674,193.88,2.479,889638,9,0.48
7.9,7.37,7.47,CVNA,0.2295,7.87,6.9293,23365,1,-7.63
119.325,118.08,118.08,EA,0.4098,119.19,0.9914,20708,-1,0.0
281.1398,278.41,278.96,MSFT,0.5914,280.51,1.9184,442530,0,-1.71
130.348,129.18,130.12,IBM,0.4977,129.71,0.2861,51343,-1,0.76
161.04,159.35,159.37,AAPL,0.6109,160.77,1.9791,876718,11,-0.3
462.58,457.495,459.38,NOC,0.4154,461.57,0.5599,8021,0,25.0
