low,relvolume,price,open,high,symbol,percentchange,watchers,hourchange,sentiment
8.295,0.2952,8.63,8.6,8.8426,CVNA,-1.9318,23284,-1,-4.39
284.54,0.4744,288.45,285.99,289.05,MSFT,0.0277,443647,3,5.34
128.075,0.3668,128.18,128.58,128.9,EA,-0.6665,20705,1,10.0
140.4,0.5763,141.22,141.23,141.5,JPM,-0.1273,82989,0,-0.68
90.73,0.5063,90.97,91.0,91.12,SONY,-0.3724,2087,1,0.0
177.65,0.6315,180.59,179.1,183.5,TSLA,-2.0183,891999,25,0.78
5.87,0.4953,6.08,5.9,6.1,SOFI,1.6722,91963,16,0.91
222.3,0.5032,224.27,225.06,228.49,ENPH,-1.5798,37475,-1,-0.26
165.54,0.6395,167.63,165.8,168.16,AAPL,0.6968,878179,3,4.2
31.0828,0.4343,31.15,31.1,31.52,INTC,-2.1363,131281,2,0.0
4.92,0.3154,5.1,4.95,5.17,AMC,0.9901,413181,-2,-1.52
101.39,0.8364,104.3,101.58,105.12,AMZN,1.955,588745,9,2.6
272.32,0.6812,279.31,273.61,280.0,NVDA,0.9542,421918,0,2.9
476.2,0.4242,477.07,480.46,482.7909,NOC,-0.5006,8043,0,6.06
88.22,0.5543,89.94,88.51,90.54,AMD,0.1782,456896,-3,0.9
103.07,0.4564,104.18,103.58,104.98,GOOGL,-0.3062,160558,2,-0.17
125.3,0.9493,126.32,126.5,126.98,IBM,-1.1426,51409,4,1.48
212.94,0.4728,215.7,213.472,217.33,META,-1.0051,512956,-3,3.28
