open,relvolume,price,high,percentchange,low,symbol,watchers,hourchange,sentiment
449.81,0.6109,442.57,451.41,-1.6839,441.305,NOC,7996,0,1.39
278.26,1.5164,278.13,283.33,0.6988,276.3201,MSFT,441712,7,2.54
259.82,1.1878,258.805,263.99,1.3292,256.68,NVDA,419156,8,5.37
200.56,0.8625,196.85,201.9,-3.9428,195.92,META,511588,-1,1.32
200.7,1.4145,182.83,200.7,-9.085,181.55,ENPH,37072,17,-3.95
184.515,0.5849,179.4701,186.21,-2.5308,177.33,TSLA,888606,3,3.31
156.08,0.8332,154.95,156.74,-0.5775,154.28,AAPL,875776,2,5.56
128.38,1.6986,125.9,128.45,-3.7094,125.46,JPM,82020,5,5.95
124.08,1.2938,123.23,124.2,-1.1788,122.935,IBM,51323,0,7.41
113.65,0.5621,113.25,114.0,-0.2466,112.98,EA,20736,0,0.0
100.26,1.038,101.17,102.835,0.8473,100.1,GOOGL,159499,3,2.66
99.79,0.7523,98.495,100.65,-1.5444,97.455,AMZN,586531,6,2.4
96.66,1.2441,96.72,98.75,0.1242,95.94,AMD,455809,4,2.76
87.25,0.7027,86.71,87.445,0.3704,86.19,SONY,2077,0,33.33
29.92,0.8162,29.515,30.56,-2.2034,29.44,INTC,130791,0,-1.33
7.21,0.3554,7.665,7.9,3.4413,7.02,CVNA,23309,8,1.11
5.47,0.4575,5.425,5.5,-0.4587,5.33,SOFI,91540,-1,2.93
4.3,0.5124,4.225,4.34,-3.7585,4.108,AMC,411727,-2,0.17
