open,percentchange,relvolume,high,symbol,price,low,watchers,hourchange,sentiment
126.58,1.7046,0.4634,128.72,EA,128.28,126.58,20702,0,6.67
283.59,2.2399,0.602,289.9,MSFT,289.84,283.17,443359,0,1.54
128.46,0.3813,0.7779,129.035,JPM,128.99,126.84,82735,7,7.91
472.0,0.294,0.3826,476.065,NOC,474.16,469.78,8040,0,-16.67
9.27,1.4069,0.3162,9.76,CVNA,9.37,9.201,23339,0,1.08
5.91,0.6873,0.5437,5.98,SOFI,5.86,5.825,91911,-3,1.79
31.82,0.3435,0.474,32.4252,INTC,32.13,31.65,131236,0,4.86
105.84,2.6663,0.5101,107.49,GOOGL,107.43,105.9,160363,0,-1.88
90.1,1.174,0.7734,90.83,SONY,90.49,90.0,2088,0,0.0
182.955,2.9689,0.6485,186.5,TSLA,185.9,180.94,891332,8,1.33
215.73,2.9673,0.6771,221.15,META,220.35,215.82,512810,2,2.29
92.79,-0.2599,0.6105,93.16,AMD,92.09,91.83,456771,2,0.69
200.01,6.9683,0.9909,211.55,ENPH,209.69,198.52,37427,0,-4.67
267.34,-0.1208,0.6485,268.869,NVDA,264.63,263.29,421522,4,-2.93
5.48,2.2472,0.5092,5.66,AMC,5.46,5.39,413226,1,-2.8
161.63,3.4104,0.8567,165.8,AAPL,165.56,161.44,877769,3,4.53
128.01,-0.4979,0.8901,128.39,IBM,127.9,126.01,51369,1,7.6
98.95,4.6714,0.9312,102.56,AMZN,102.4,98.73,588391,-1,4.3
