percentchange,open,high,price,symbol,relvolume,low,watchers,hourchange,sentiment
0.6385,32.85,33.84,33.1,INTC,1.059,32.85,131182,0,2.87
-1.3368,130.5,130.59,128.42,JPM,0.702,127.41,82526,-1,6.54
1.5038,102.75,104.2,103.95,AMZN,0.6103,102.11,587793,10,2.13
-0.2323,468.73,471.94,468.1,NOC,0.3915,465.0,8034,1,0.0
-0.325,166.595,166.83,165.63,AAPL,0.5431,165.11,877173,0,2.33
-0.0174,287.23,290.4499,287.18,MSFT,0.6652,285.67,442888,-2,0.64
-1.8309,279.66,280.0,274.53,NVDA,0.686,273.08,420931,0,0.86
0.345,104.33,105.58,104.72,GOOGL,0.5141,104.04,160041,0,4.53
-23.4834,4.08,4.45,3.91,AMC,2.4701,3.88,412831,1,-5.68
3.2056,121.43,125.47,125.24,EA,1.0756,121.23,20706,-1,0.0
2.2605,9.44,9.72,9.5,CVNA,0.3434,8.93,23343,-2,-1.79
0.7744,213.39,216.24,214.72,META,0.5769,212.54,512519,6,5.13
-0.3483,131.99,132.1499,131.6,IBM,0.5043,130.89,51358,2,0.0
-1.1244,197.32,198.7446,192.58,TSLA,0.711,190.32,890491,-5,0.35
-0.3504,90.78,91.145,91.01,SONY,0.9783,90.36,2087,0,0.0
-0.7146,97.038,97.27,95.87,AMD,0.6455,95.21,456542,0,-2.25
-0.0296,202.89,203.2,202.54,ENPH,0.4624,198.65,37369,0,0.6
-2.3217,6.1,6.095,5.89,SOFI,0.4678,5.835,91854,0,-0.77
