symbol,high,relvolume,low,open,percentchange,price,watchers,hourchange,sentiment
ENPH,196.515,0.3801,190.624,196.0,-1.1924,193.495,37298,-1,-3.4
IBM,129.66,0.4651,128.8,129.18,0.0077,129.32,51344,0,3.35
MSFT,276.13,0.5713,272.05,275.79,-0.408,275.2525,442486,4,-2.62
JPM,129.3417,0.7437,127.75,128.71,0.2724,128.84,82450,-1,-1.89
AAPL,158.1277,0.5555,155.98,157.97,-0.3601,157.71,876656,3,-2.51
EA,118.4425,0.5197,117.38,118.085,-0.531,118.01,20715,0,-1.01
AMD,96.93,0.907,92.87,96.77,-2.0547,94.625,456309,2,-1.22
META,201.03,0.535,197.9,200.15,-1.0599,200.69,512220,-3,-3.47
NVDA,265.13,0.6755,258.5,264.47,-0.4184,264.2,420423,3,-0.39
NOC,461.5,0.3387,457.59,458.31,0.1593,458.98,8016,0,-2.78
TSLA,192.35,0.5363,185.43,192.0,-1.3764,189.17,889585,16,-3.02
AMZN,98.44,0.4953,96.29,98.11,-0.8058,97.25,587260,7,-1.74
SONY,86.6682,0.8063,85.745,86.11,-0.9464,85.82,2081,0,0.0
AMC,5.5,2.4732,4.46,4.51,12.3626,5.1125,412081,107,-0.37
SOFI,5.79,0.5751,5.51,5.74,-3.0382,5.585,91755,0,0.53
INTC,29.33,0.6633,28.63,29.075,0.4798,29.32,130891,0,-0.81
CVNA,7.72,0.235,7.22,7.57,-3.2808,7.37,23387,-7,-0.32
GOOGL,102.4,0.707,99.7401,102.44,-1.4249,101.0,159817,0,-4.76
