relvolume,high,low,open,price,symbol,percentchange,watchers,hourchange,sentiment
0.5878,270.06,264.36,265.655,270.02,NVDA,0.9119,421738,7,-1.33
0.273,9.2192,8.68,8.91,9.06,CVNA,1.0033,23310,0,-0.87
1.0164,140.06,137.66,139.95,139.83,JPM,0.7929,82973,0,0.57
0.7217,90.69,88.3,90.23,89.87,AMD,-2.049,456849,2,-2.65
0.6655,6.0,5.81,5.89,5.96,SOFI,0.6757,91919,0,0.14
0.3666,5.3,5.1301,5.24,5.2,AMC,1.5625,413211,5,-1.29
0.4402,220.979,217.13,219.79,218.86,META,-1.1874,512925,5,0.6
0.5412,165.39,164.03,165.09,165.23,AAPL,0.0121,878010,10,2.31
0.6825,189.69,182.7,186.32,187.04,TSLA,1.1027,891656,2,0.25
0.5124,128.72,126.8,128.3,127.82,IBM,-0.2497,51378,0,-4.47
0.816,106.155,104.52,104.658,105.97,GOOGL,-2.6637,160524,4,-11.65
0.4391,477.68,471.38,472.99,474.79,NOC,0.4698,8041,0,8.33
0.5168,32.64,31.77,31.95,32.14,INTC,0.7839,131271,2,3.63
0.9083,91.23,90.35,90.55,91.15,SONY,0.3192,2088,0,0.0
0.6118,291.58,286.2,289.93,288.8,MSFT,0.9296,443554,8,2.44
0.5299,103.73,101.59,103.16,102.74,AMZN,0.2244,588609,1,-0.58
0.4493,128.42,127.14,127.37,128.08,EA,0.1642,20706,-1,-10.0
1.7249,229.23,214.7801,215.0,224.92,ENPH,7.6687,37476,3,3.43
