price,symbol,low,relvolume,percentchange,high,open,watchers,hourchange,sentiment
103.95,AMZN,102.11,0.6103,1.5038,104.2,102.75,587793,10,2.13
468.1,NOC,465.0,0.3915,-0.2323,471.94,468.73,8034,1,0.0
165.63,AAPL,165.11,0.5431,-0.325,166.83,166.595,877173,0,2.33
287.18,MSFT,285.67,0.6652,-0.0174,290.4499,287.23,442888,-2,0.64
274.53,NVDA,273.08,0.686,-1.8309,280.0,279.66,420931,0,0.86
104.72,GOOGL,104.04,0.5141,0.345,105.58,104.33,160041,0,4.53
3.91,AMC,3.88,2.4701,-23.4834,4.45,4.08,412831,1,-5.68
125.24,EA,121.23,1.0756,3.2056,125.47,121.43,20706,-1,0.0
9.5,CVNA,8.93,0.3434,2.2605,9.72,9.44,23343,-2,-1.79
214.72,META,212.54,0.5769,0.7744,216.24,213.39,512519,6,5.13
131.6,IBM,130.9,0.5043,-0.3483,132.13,131.99,51358,2,0.0
192.58,TSLA,190.32,0.711,-1.1244,198.7446,197.32,890491,-5,0.35
91.01,SONY,90.36,0.9783,-0.3504,91.145,90.78,2087,0,0.0
95.87,AMD,95.21,0.6455,-0.7146,97.27,97.038,456542,0,-2.25
202.54,ENPH,198.65,0.4624,-0.0296,203.2,202.89,37369,0,0.6
5.89,SOFI,5.835,0.4678,-2.3217,6.095,6.1,91854,0,-0.77
33.1,INTC,32.85,1.059,0.6385,33.84,32.85,131182,0,2.87
128.42,JPM,127.41,0.702,-1.3368,130.57,130.5,82526,-1,6.54
