relvolume,symbol,price,low,percentchange,open,high,watchers,hourchange,sentiment
0.3938,NOC,460.98,458.5,-0.1278,460.46,462.92,8023,0,0.0
0.5487,IBM,129.22,129.1,-0.3778,130.16,131.48,51343,0,8.38
0.5217,EA,119.1,118.85,-0.0755,120.0,120.05,20710,0,5.56
0.5721,CVNA,8.83,8.0748,12.1982,8.08,9.0,23362,0,-4.62
1.4544,SONY,89.31,88.555,1.6388,88.7,89.53,2082,0,0.0
0.6652,NVDA,273.83,271.02,1.4787,272.29,274.99,420573,3,2.26
0.6092,TSLA,195.28,194.42,0.7221,195.58,197.328,889755,4,4.2
0.5827,AAPL,162.36,161.271,0.989,161.53,162.47,876773,2,4.34
0.5325,AMC,4.97,4.865,-0.6,5.11,5.16,412471,1,0.75
0.6427,MSFT,284.05,281.5,1.262,284.23,284.46,442605,5,-0.15
0.6432,META,207.84,202.85,1.2126,203.38,208.09,512306,5,6.08
0.7826,JPM,128.75,127.65,-0.302,129.95,130.12,82477,3,1.21
0.6629,ENPH,205.27,203.96,0.6472,209.435,214.19,37320,-1,-2.39
0.6807,GOOGL,100.89,99.78,-0.4931,100.91,101.155,159894,4,2.76
1.4198,INTC,32.09,31.81,1.8084,31.85,32.58,131059,5,4.5
0.6344,SOFI,5.72,5.62,-0.5217,5.87,5.93,91770,1,-1.7
0.8812,AMD,97.88,97.25,1.8628,98.0,99.53,456364,0,-2.74
0.6777,AMZN,102.0,101.01,1.7456,101.55,103.04,587428,3,3.47
