relvolume,percentchange,symbol,low,price,high,open,watchers,hourchange,sentiment
0.8408,-2.5691,NVDA,264.4786,264.71,274.63,273.7,421423,5,3.47
0.5478,0.0655,META,212.584,213.99,216.84,214.835,512757,3,-1.12
0.66,-0.0078,JPM,128.0603,128.51,130.43,129.18,82618,0,1.61
0.8639,-3.4022,TSLA,180.32,180.435,191.58,190.74,891210,-4,-0.11
0.4414,-0.4673,ENPH,195.81,195.96,201.26,199.9,37406,0,1.77
0.7773,-2.0917,AMZN,97.705,97.83,100.51,100.4,588249,4,-1.86
0.5099,-0.6787,GOOGL,104.34,104.635,106.75,106.58,160339,-6,-0.07
0.5877,-0.9583,INTC,31.96,32.04,32.89,32.77,131234,-2,-3.82
0.9555,-2.4288,SOFI,5.67,5.825,6.05,6.06,91919,-3,0.41
0.4255,0.9653,NOC,466.03,472.79,474.7299,467.43,8038,0,0.0
0.6074,-1.453,IBM,128.18,128.525,130.87,130.4,51367,0,-2.02
0.4105,0.3421,EA,125.82,126.11,127.1812,126.28,20701,0,-29.17
0.8136,-1.893,AMD,91.74,92.25,94.995,94.97,456743,0,6.05
0.7301,0.2157,MSFT,281.96,283.44,287.01,284.79,443292,-3,-1.14
0.5844,-5.3279,CVNA,8.79,9.24,10.32,9.79,23327,-3,7.13
0.6508,-0.4415,AAPL,159.78,160.09,162.06,161.22,877680,4,1.44
0.827,-1.6575,AMC,5.34,5.34,5.74,5.62,413219,-2,0.98
0.4882,0.5286,SONY,89.29,89.38,90.4,90.0,2089,0,0.0
