low,relvolume,symbol,price,high,open,percentchange,watchers,hourchange,sentiment
263.55,0.8619,NVDA,267.79,271.67,270.31,-1.5152,420200,-2,-1.14
7.95,0.2716,CVNA,8.19,8.47,8.18,-1.9162,23417,0,-0.45
96.74,1.0179,AMD,97.95,99.52,99.18,-2.3235,456184,0,-2.61
122.88,0.6283,IBM,125.29,125.4,123.36,1.5563,51329,2,-2.11
157.85,0.6983,AAPL,160.25,160.34,158.86,0.8306,876397,-6,-1.19
275.3,0.7429,MSFT,280.57,280.63,277.24,1.048,442258,0,0.35
443.105,0.7919,NOC,455.25,456.2,445.08,2.4323,8012,0,-10.23
117.61,0.8715,EA,119.03,119.205,118.08,2.5767,20720,0,0.0
5.645,0.4643,SOFI,5.74,5.83,5.675,-0.692,91708,1,-0.29
4.38,0.283,AMC,4.47,4.54,4.4,0.0,411927,-1,0.25
28.93,1.0801,INTC,29.36,29.81,29.04,1.1368,130869,2,-2.26
96.4,0.6949,AMZN,98.13,98.295,98.065,-0.5876,587053,0,-0.92
203.55,0.7884,META,206.01,207.574,205.18,0.8469,512051,0,2.97
187.15,0.6231,TSLA,190.41,192.36,191.65,-0.9416,889287,2,-1.2
103.84,0.6651,GOOGL,105.44,105.49,104.99,-0.1515,159720,0,-3.37
86.96,1.3895,SONY,87.53,88.3,88.3,-0.8383,2082,0,0.0
192.46,0.8771,ENPH,195.99,203.55,202.35,-4.2363,37276,1,4.64
123.11,1.496,JPM,124.91,125.68,125.63,-1.5216,82376,5,-0.01
