open,price,low,relvolume,percentchange,symbol,high,watchers,hourchange,sentiment
214.71,214.75,210.66,0.4571,-0.6247,META,215.66,512692,1,-1.48
124.79,125.62,123.74,0.3892,0.3675,EA,125.8,20703,0,4.44
32.6,32.52,32.2,0.4854,-0.8839,INTC,32.76,131214,2,-0.55
129.83,131.03,129.24,0.3796,0.4061,IBM,131.08,51363,-1,-1.29
9.0,9.31,8.62,0.3262,3.3296,CVNA,9.35,23316,1,4.22
289.208,289.39,284.72,0.6369,-0.7579,MSFT,289.6,443170,2,-1.35
179.94,184.51,176.11,0.8207,-0.2972,TSLA,185.0994,891057,5,-0.34
100.96,102.17,99.57,0.5167,0.1078,AMZN,102.2,588098,-2,-1.73
189.09,195.8,188.51,0.4136,2.5131,ENPH,195.9,37408,0,-1.95
4.77,5.24,4.74,1.2692,6.9388,AMC,5.37,413138,-1,1.63
470.98,476.54,470.98,0.4565,1.3074,NOC,478.17,8041,0,-16.67
91.32,95.48,91.02,0.7903,3.2551,AMD,95.79,456700,1,8.3
268.23,275.79,266.69,0.7128,2.0047,NVDA,276.2099,421321,5,1.67
5.69,5.91,5.66,0.5343,2.7826,SOFI,5.92,91903,-5,0.65
161.42,162.03,160.08,0.6369,-1.5972,AAPL,162.03,877532,0,-4.78
126.54,127.89,126.22,0.5624,0.3295,JPM,128.23,82597,2,-2.86
106.98,106.44,105.12,0.6059,-1.8262,GOOGL,107.59,160304,2,0.19
87.76,88.51,87.73,0.4657,0.3856,SONY,88.52,2088,0,0.0
