relvolume,price,percentchange,open,low,symbol,high,watchers,hourchange,sentiment
1.7577,279.43,1.1694,278.26,276.3201,MSFT,283.33,441736,7,-1.31
1.116,195.61,-4.5479,200.56,195.4304,META,201.9,511607,3,-0.68
0.7406,113.35,-0.1585,113.65,112.98,EA,114.0,20735,-1,-25.0
0.6185,4.18,-4.7836,4.3,4.1078,AMC,4.34,411730,-3,0.05
0.6642,5.46,0.1835,5.47,5.33,SOFI,5.54,91547,3,5.25
0.8804,443.6,-1.4551,449.81,441.305,NOC,450.16,7997,0,3.41
0.8764,98.95,-1.0896,99.79,97.455,AMZN,100.65,586543,2,2.66
1.2376,101.62,1.2959,100.26,100.1,GOOGL,102.835,159514,6,2.07
1.0943,29.81,-1.226,29.92,29.44,INTC,30.56,130791,1,-3.77
0.9896,155.0,-0.5454,156.08,154.28,AAPL,156.74,875799,8,4.9
1.684,183.64,-8.6822,200.7,181.55,ENPH,200.7,37109,14,-3.31
1.0052,86.52,0.1505,87.25,86.18,SONY,87.47,2077,0,33.33
1.3828,257.25,0.7204,259.82,256.68,NVDA,263.99,419179,7,2.88
0.4207,7.65,3.2389,7.21,7.02,CVNA,7.9,23308,1,1.08
2.0994,123.69,-0.8099,124.08,122.93,IBM,124.52,51322,0,1.4
0.6722,180.13,-2.1724,184.515,177.33,TSLA,186.21,888621,6,2.24
1.4973,97.84,1.2836,96.66,95.94,AMD,98.75,455820,6,0.63
2.2173,125.81,-3.7782,128.38,125.45,JPM,128.48,82032,5,4.47
