relvolume,low,symbol,high,percentchange,price,open,watchers,hourchange,sentiment
0.5878,264.36,NVDA,270.06,0.9119,270.02,265.655,421738,7,-1.33
0.6655,5.81,SOFI,6.0,0.6757,5.96,5.89,91919,0,0.14
1.0164,137.66,JPM,140.06,0.7929,139.83,139.95,82973,0,0.57
0.7217,88.3,AMD,90.69,-2.049,89.87,90.23,456849,2,-2.65
0.273,8.68,CVNA,9.2192,1.0033,9.06,8.91,23310,0,-0.87
0.3666,5.1301,AMC,5.3,1.5625,5.2,5.24,413211,5,-1.29
0.5412,164.03,AAPL,165.39,0.0121,165.23,165.09,878010,10,2.31
0.4402,217.13,META,220.979,-1.1874,218.86,219.79,512925,5,0.6
0.6825,182.7,TSLA,189.69,1.1027,187.04,186.32,891656,2,0.25
0.5124,126.8,IBM,128.72,-0.2497,127.82,128.3,51378,0,-4.47
0.816,104.52,GOOGL,106.155,-2.6637,105.97,104.658,160524,4,-11.65
0.4391,471.38,NOC,477.68,0.4698,474.79,472.99,8041,0,8.33
0.5168,31.77,INTC,32.64,0.7839,32.14,31.95,131271,2,3.63
0.9083,90.35,SONY,91.23,0.3192,91.15,90.55,2088,0,0.0
0.6118,286.2,MSFT,291.58,0.9296,288.8,289.93,443554,8,2.44
0.5299,101.59,AMZN,103.73,0.2244,102.74,103.16,588609,1,-0.58
0.4493,127.14,EA,128.42,0.1642,128.08,127.37,20706,-1,-10.0
1.7249,214.7801,ENPH,229.23,7.6687,224.92,215.0,37476,3,3.43
