symbol,price,low,open,percentchange,relvolume,high,watchers,hourchange,sentiment
NVDA,270.02,264.36,265.655,0.9119,0.5878,270.06,421728,-1,-1.66
JPM,139.83,137.66,139.95,0.7929,1.0164,140.06,82971,3,0.57
CVNA,9.06,8.68,8.91,1.0033,0.273,9.2192,23314,1,-1.38
SOFI,5.96,5.81,5.89,0.6757,0.6655,6.0,91912,-2,-0.12
AMD,89.87,88.3,90.23,-2.049,0.7217,90.69,456844,-1,-2.47
AMC,5.2,5.13,5.24,1.5625,0.3666,5.3,413208,0,-1.15
META,218.86,217.13,219.79,-1.1874,0.4402,220.979,512900,-2,0.22
AAPL,165.23,164.03,165.09,0.0121,0.5412,165.39,878002,-3,1.8
GOOGL,105.97,104.52,104.658,-2.6637,0.816,106.155,160514,-3,-11.83
IBM,127.82,126.8,128.3,-0.2497,0.5124,128.72,51378,1,-3.45
TSLA,187.04,182.7,186.32,1.1027,0.6825,189.69,891645,7,0.2
NOC,474.79,471.38,472.99,0.4698,0.4391,477.68,8041,1,8.33
MSFT,288.8,286.2,289.93,0.9296,0.6118,291.58,443539,0,2.08
SONY,91.15,90.35,90.55,0.3192,0.9083,91.23,2088,0,0.0
AMZN,102.74,101.59,103.16,0.2244,0.5299,103.73,588603,0,-0.62
INTC,32.14,31.77,31.95,0.7839,0.5168,32.64,131269,1,3.52
ENPH,224.92,214.7801,215.0,7.6687,1.7249,229.23,37467,2,3.39
EA,128.08,127.14,127.37,0.1642,0.4493,128.42,20707,1,-10.0
