high,open,relvolume,percentchange,symbol,low,price,watchers,hourchange,sentiment
167.41,166.1,0.6295,0.7505,AAPL,165.65,166.47,878094,4,3.69
106.515,106.49,0.5757,-1.3872,GOOGL,104.07,104.5,160554,-1,-2.31
187.69,187.15,0.5393,-1.4596,TSLA,183.5887,184.31,891794,-4,-0.73
9.285,9.22,0.2683,-2.8698,CVNA,8.76,8.8,23296,-4,-3.81
220.44,219.91,0.3488,-0.4432,META,216.215,217.89,512948,4,1.03
291.6,291.57,0.5165,-0.1489,MSFT,287.02,288.37,443619,-3,4.81
141.78,140.27,0.8356,1.1228,JPM,139.03,141.4,82989,1,-0.52
231.31,225.43,0.8254,1.3116,ENPH,222.23,227.87,37486,0,-1.73
483.4,475.74,0.6483,0.9857,NOC,475.74,479.47,8043,0,-11.11
104.2,103.95,0.555,-0.4283,AMZN,101.52,102.3,588659,2,1.45
129.38,128.81,0.5166,0.7495,EA,127.82,129.04,20704,0,0.0
128.68,128.14,0.4769,-0.0313,IBM,127.35,127.78,51379,-2,-0.62
6.02,6.0,0.4567,0.3356,SOFI,5.895,5.98,91920,2,-0.98
5.212,5.23,0.3403,-2.8846,AMC,4.98,5.05,413184,-2,-1.88
32.46,32.43,0.4755,-0.9645,INTC,31.785,31.83,131278,0,0.18
281.0802,275.335,1.1798,2.4628,NVDA,273.57,276.67,421845,-11,0.09
92.16,91.61,0.6994,-0.1001,AMD,89.33,89.78,456869,-2,2.78
91.86,91.57,0.8545,0.1755,SONY,90.99,91.31,2087,1,0.0
