high,relvolume,symbol,open,percentchange,price,low,watchers,hourchange,sentiment
456.2,0.7919,NOC,445.08,2.4143,455.17,443.105,8013,-1,-5.0
280.59,0.7429,MSFT,277.24,1.03,280.52,275.3,442238,2,-2.65
271.67,0.8619,NVDA,270.31,-1.4475,267.974,263.55,420185,0,-1.19
207.574,0.7884,META,205.18,0.8714,206.06,203.55,512060,6,-0.91
203.55,0.8771,ENPH,202.35,-4.1825,196.1,192.46,37274,2,4.85
192.36,0.6231,TSLA,191.65,-1.0301,190.24,187.15,889277,1,-1.76
160.29,0.6983,AAPL,158.86,0.8557,160.29,157.85,876381,7,-2.83
125.4,0.6283,IBM,123.36,1.5887,125.33,122.89,51325,-1,-0.54
125.68,1.496,JPM,125.63,-1.5453,124.88,123.1163,82363,1,-0.86
119.205,0.8715,EA,118.08,2.6112,119.07,117.61,20719,0,7.14
105.45,0.6651,GOOGL,104.99,-0.1705,105.42,103.84,159715,0,-4.66
98.295,0.6949,AMZN,98.065,-0.5977,98.12,96.4,587040,2,-1.4
99.52,1.0179,AMD,99.18,-2.2637,98.01,96.74,456188,2,-3.33
88.3,1.3895,SONY,88.3,-0.861,87.51,86.96,2082,0,0.0
29.81,1.0801,INTC,29.04,1.2332,29.388,28.93,130869,-1,-1.71
8.47,0.2716,CVNA,8.18,-1.5569,8.22,7.95,23423,0,-1.35
5.83,0.4643,SOFI,5.675,-0.6055,5.745,5.645,91705,1,-0.2
4.54,0.283,AMC,4.4,-0.1119,4.465,4.38,411924,-4,-0.03
