price,percentchange,open,relvolume,low,high,symbol,watchers,hourchange,sentiment
128.08,0.1642,127.37,0.4493,127.14,128.42,EA,20706,0,-10.0
270.02,0.9119,265.655,0.5878,264.36,270.06,NVDA,421740,3,-1.27
9.06,1.0033,8.91,0.273,8.68,9.2192,CVNA,23312,1,-0.94
5.2,1.5625,5.24,0.3666,5.1301,5.3,AMC,413213,-1,-1.66
89.87,-2.049,90.23,0.7217,88.3,90.69,AMD,456852,2,-3.06
5.96,0.6757,5.89,0.6655,5.81,6.0,SOFI,91920,0,0.18
218.86,-1.1874,219.79,0.4402,217.13,220.979,META,512924,-1,0.31
139.83,0.7929,139.95,1.0164,137.66,140.06,JPM,82976,1,0.48
165.23,0.0121,165.09,0.5412,164.03,165.39,AAPL,878015,5,2.53
127.82,-0.2497,128.3,0.5124,126.8,128.72,IBM,51378,0,-5.04
187.04,1.1027,186.32,0.6825,182.7,189.69,TSLA,891674,8,0.35
474.79,0.4698,472.99,0.4391,471.38,477.68,NOC,8041,0,3.57
105.97,-2.6637,104.658,0.816,104.52,106.155,GOOGL,160537,5,-12.05
32.14,0.7839,31.95,0.5168,31.77,32.64,INTC,131274,0,4.41
91.15,0.3192,90.55,0.9083,90.35,91.23,SONY,2088,0,0.0
288.8,0.9296,289.93,0.6118,286.2,291.58,MSFT,443559,5,2.92
224.92,7.6687,215.0,1.7249,214.7801,229.23,ENPH,37477,1,3.52
102.74,0.2244,103.16,0.5299,101.59,103.73,AMZN,588619,6,-0.28
