percentchange,open,price,relvolume,symbol,high,low,watchers,hourchange,sentiment
0.1473,460.46,462.25,0.2447,NOC,462.865,458.615,8020,0,0.0
0.9483,284.23,283.17,0.5097,MSFT,284.46,281.5,442588,4,2.32
1.2859,272.29,273.31,0.5407,NVDA,274.99,271.02,420558,0,2.24
1.5053,209.435,207.02,0.5621,ENPH,214.19,203.96,37319,0,-2.23
0.7985,203.38,206.9898,0.5376,META,208.09,202.85,512290,3,3.5
1.1361,195.58,196.0827,0.5204,TSLA,197.328,194.42,889734,0,4.23
0.877,161.53,162.18,0.4717,AAPL,162.47,161.271,876772,0,4.52
-0.2274,130.16,129.415,0.3947,IBM,131.47,129.15,51348,0,8.38
-0.5653,129.95,128.41,0.6274,JPM,130.12,127.65,82475,-1,3.22
-0.0545,120.0,119.125,0.3592,EA,120.05,118.85,20710,0,5.56
1.4763,101.55,101.73,0.5712,AMZN,103.04,101.01,587427,7,6.76
-0.72,100.91,100.66,0.5404,GOOGL,100.96,99.78,159879,0,3.16
1.9773,98.0,97.99,0.7386,AMD,99.53,97.25,456360,4,-4.65
1.7753,88.7,89.43,1.1397,SONY,89.53,88.64,2081,0,0.0
1.8788,31.85,32.1122,1.1685,INTC,32.58,31.81,131059,5,12.24
9.1741,8.08,8.592,0.4972,CVNA,9.0,8.079,23365,0,-6.96
-0.8487,5.87,5.7012,0.5156,SOFI,5.93,5.62,91777,0,-0.06
-2.5,5.11,4.875,0.4602,AMC,5.16,4.87,412494,0,1.11
