price,percentchange,relvolume,open,high,symbol,low,watchers,hourchange,sentiment
105.94,-2.6913,0.816,104.658,106.155,GOOGL,104.52,160514,-3,-11.83
186.945,1.0514,0.6825,186.32,189.69,TSLA,182.7,891645,7,0.2
474.79,0.4698,0.4391,472.99,477.68,NOC,471.38,8041,1,8.33
127.79,-0.2731,0.5124,128.3,128.72,IBM,126.8,51378,1,-3.45
288.7,0.8947,0.6118,289.93,291.58,MSFT,286.2,443539,0,2.08
102.77,0.2536,0.5299,103.16,103.73,AMZN,101.59,588603,0,-0.62
91.141,0.3093,0.9083,90.55,91.23,SONY,90.35,2088,0,0.0
32.14,0.7839,0.5168,31.95,32.64,INTC,31.77,131269,1,3.52
225.0,7.707,1.7249,215.0,229.23,ENPH,214.7801,37467,2,3.39
128.08,0.1642,0.4493,127.37,128.42,EA,127.14,20707,1,-10.0
139.8025,0.7731,1.0164,139.95,140.06,JPM,137.66,82971,3,0.57
269.98,0.8969,0.5878,265.655,270.0,NVDA,264.36,421728,-1,-1.66
5.955,0.5912,0.6655,5.89,6.0,SOFI,5.81,91912,-2,-0.12
5.2,1.5625,0.3666,5.24,5.3,AMC,5.1301,413208,0,-1.15
218.86,-1.1874,0.4402,219.79,220.979,META,217.13,512900,-2,0.22
9.08,1.2263,0.273,8.91,9.2192,CVNA,8.68,23314,1,-1.38
165.2021,-0.0048,0.5412,165.09,165.39,AAPL,164.03,878002,-3,1.8
89.875,-2.0436,0.7217,90.23,90.69,AMD,88.3,456844,-1,-2.47
