open,percentchange,price,low,symbol,relvolume,high,watchers,hourchange,sentiment
445.27,1.7178,451.22,445.36,NOC,0.3413,452.2,8002,0,9.09
276.98,-3.1421,270.65,269.85,MSFT,1.0888,277.48,441930,4,-0.03
256.15,0.3868,258.245,251.3,NVDA,0.7405,260.24,419417,4,1.07
198.48,1.0429,197.65,193.64,META,0.6336,199.36,511735,0,0.54
189.59,4.8873,192.615,185.2,ENPH,1.0508,196.88,37203,-4,0.93
178.08,1.6044,183.02,176.35,TSLA,0.6516,186.44,888857,4,-0.43
155.07,1.5161,157.35,154.15,AAPL,0.7487,157.81,876013,5,-0.7
126.99,1.073,127.16,126.01,JPM,1.4469,129.46,82205,5,0.49
124.31,1.4795,125.52,124.19,IBM,0.5825,125.9115,51324,0,-0.86
113.01,0.097,113.46,113.01,EA,0.4026,114.28,20730,0,0.0
100.12,-0.492,101.12,99.88,GOOGL,0.6336,101.75,159575,4,-0.31
98.41,-1.8343,97.135,95.7,AMZN,0.7019,98.48,586756,4,0.75
96.3,-1.9429,95.9391,92.9,AMD,1.4056,96.79,455936,1,-0.73
87.52,2.2018,88.425,87.33,SONY,0.9447,89.16,2079,0,0.0
29.8,-1.8282,29.265,28.63,INTC,0.62,29.9,130823,1,0.19
7.43,-9.3464,6.935,6.87,CVNA,0.2903,7.81,23279,-3,-1.47
5.47,-3.7546,5.255,5.22,SOFI,0.7161,5.54,91583,-1,1.29
4.25,3.3493,4.32,4.14,AMC,0.3939,4.38,411739,1,-0.62
