percentchange,relvolume,symbol,high,open,price,low,watchers,hourchange,sentiment
-1.0201,0.5877,INTC,32.89,32.77,32.02,31.96,131234,0,-5.31
-2.5126,0.9555,SOFI,6.05,6.06,5.82,5.67,91919,0,-0.21
0.3581,0.4105,EA,127.1812,126.28,126.13,125.82,20702,1,-16.67
-1.4415,0.6074,IBM,130.87,130.4,128.54,128.18,51367,0,-2.42
0.961,0.4255,NOC,474.7299,467.43,472.77,466.03,8038,0,0.0
-1.8079,0.8136,AMD,94.995,94.97,92.33,91.74,456746,3,6.03
0.2334,0.7301,MSFT,287.01,284.79,283.49,281.96,443294,2,-1.73
-5.3279,0.5844,CVNA,10.32,10.13,9.24,8.79,23330,3,7.13
-0.4353,0.6508,AAPL,162.06,161.22,160.1,159.78,877677,-3,0.8
-1.6575,0.827,AMC,5.74,5.62,5.34,5.34,413211,-8,0.52
0.5961,0.4882,SONY,90.4,90.0,89.44,89.29,2089,0,0.0
-2.4808,0.8408,NVDA,274.63,273.7,264.95,264.4786,421429,6,1.72
-0.0156,0.66,JPM,130.43,129.18,128.5,128.0603,82616,-2,0.59
0.0701,0.5478,META,216.84,214.835,214.0,212.584,512757,0,-1.25
-3.346,0.8639,TSLA,191.58,190.74,180.54,180.31,891210,0,-0.13
-2.0917,0.7773,AMZN,100.51,100.4,97.83,97.705,588254,5,-1.25
-0.4317,0.4414,ENPH,201.26,199.9,196.03,195.81,37409,3,1.68
-0.6739,0.5099,GOOGL,106.75,106.58,104.64,104.34,160339,0,-0.19
