relvolume,percentchange,low,open,price,symbol,high,watchers,hourchange,sentiment
0.8567,3.4104,161.44,161.63,165.56,AAPL,165.8,877743,-6,4.18
0.8901,-0.4979,126.01,128.01,127.9,IBM,128.39,51364,1,5.98
0.9312,4.6714,98.73,98.95,102.4,AMZN,102.56,588377,0,5.12
0.602,2.2399,283.17,283.59,289.84,MSFT,289.9,443350,0,0.83
0.3162,1.4069,9.201,9.27,9.37,CVNA,9.76,23338,5,0.6
0.7779,0.3813,126.84,128.46,128.99,JPM,129.035,82712,5,2.71
0.3826,0.294,469.78,472.0,474.16,NOC,476.065,8038,0,-13.33
0.5437,0.6873,5.825,5.91,5.86,SOFI,5.98,91911,-1,1.85
0.474,0.3435,31.65,31.82,32.13,INTC,32.4252,131232,0,4.5
0.5101,2.6663,105.9,105.84,107.43,GOOGL,107.49,160358,0,-0.74
0.7734,1.174,90.0,90.1,90.49,SONY,90.83,2088,0,0.0
0.4634,1.7046,126.58,126.58,128.28,EA,128.72,20703,0,6.67
0.6771,2.9673,215.82,215.73,220.35,META,221.15,512793,0,2.93
0.6485,2.9689,180.94,182.955,185.9,TSLA,186.5,891314,-6,0.99
0.9909,6.9683,198.52,200.01,209.69,ENPH,211.55,37423,4,-4.7
0.6105,-0.2599,91.83,92.79,92.09,AMD,93.16,456760,-1,0.8
0.6485,-0.1208,263.29,267.34,264.63,NVDA,268.869,421512,6,-2.79
0.5092,2.2472,5.39,5.48,5.46,AMC,5.66,413216,-2,-3.23
