symbol,high,open,percentchange,relvolume,low,price,watchers,hourchange,sentiment
NOC,482.74,480.46,-0.39,0.2344,477.6,477.6,8043,0,7.5
MSFT,289.05,285.99,0.0069,0.3743,284.54,288.39,443641,0,4.6
NVDA,278.88,273.61,0.3904,0.5138,272.32,277.75,421921,8,1.56
ENPH,228.49,225.06,-1.1366,0.3947,222.3,225.28,37476,-1,-1.38
META,217.33,213.472,-0.9041,0.3788,212.94,215.92,512960,-3,2.17
TSLA,182.8,179.1,-1.0254,0.4803,177.65,182.42,891958,40,-0.65
AAPL,168.16,165.8,0.7749,0.489,165.54,167.76,878169,19,3.05
JPM,141.5,141.23,-0.3112,0.4039,140.41,140.96,82989,-4,-0.87
EA,128.9,128.58,-0.4572,0.2553,128.08,128.45,20704,1,10.0
IBM,126.98,126.5,-1.5181,0.5377,125.3,125.8402,51403,0,0.0
AMZN,105.12,101.58,2.4438,0.658,101.39,104.8,588728,18,1.49
GOOGL,104.98,103.58,0.2105,0.344,103.07,104.72,160554,0,-1.32
SONY,91.12,91.0,-0.4216,0.2686,90.73,90.925,2086,0,0.0
AMD,90.54,88.51,0.2005,0.4235,88.22,89.96,456897,4,0.99
INTC,31.52,31.1,-1.7908,0.2849,31.0828,31.26,131283,0,1.78
CVNA,8.765,8.6,-1.9148,0.217,8.3,8.6315,23285,-5,-4.31
SOFI,6.085,5.9,1.1706,0.3663,5.87,6.05,91947,25,0.16
AMC,5.17,4.95,0.9901,0.2456,4.92,5.1,413181,-2,-1.84
