high,percentchange,open,price,low,relvolume,symbol,watchers,hourchange,sentiment
463.4,0.0412,462.98,461.17,460.33,0.1906,NOC,8026,2,0.0
287.1769,1.0139,283.73,286.93,283.03,0.4767,MSFT,442642,5,2.59
278.34,1.3585,271.4,277.55,271.05,0.569,NVDA,420608,5,4.0
210.54,0.9767,207.24,209.87,206.77,0.4754,META,512330,3,7.88
212.12,1.9438,206.02,209.26,205.81,0.3972,ENPH,37334,2,-1.08
206.68,5.8019,197.53,206.61,197.23,0.7097,TSLA,889826,16,7.32
164.17,1.0655,162.44,164.09,162.13,0.4263,AAPL,876815,5,5.23
130.535,0.9132,129.47,130.4,129.42,0.281,IBM,51346,0,-0.19
130.01,0.6447,129.66,129.58,128.8514,0.4516,JPM,82487,0,0.03
119.86,0.6339,119.38,119.855,118.985,0.4264,EA,20709,0,-12.5
103.29,1.049,102.16,103.07,101.95,0.4328,AMZN,587468,2,2.11
103.25,1.938,101.3,102.8452,101.05,0.4241,GOOGL,159923,-1,5.22
97.975,-0.1839,96.34,97.7,95.27,0.635,AMD,456392,2,1.28
90.88,1.3996,89.77,90.56,89.79,1.0325,SONY,2082,0,0.0
32.8998,2.3216,31.8,32.835,31.74,0.7153,INTC,131086,0,-0.68
9.48,5.7191,8.9,9.335,8.77,0.347,CVNA,23358,1,2.78
6.17,6.3217,5.75,6.0816,5.67,0.8452,SOFI,91780,-4,0.82
5.055,-0.6157,4.91,4.9394,4.87,0.2842,AMC,412470,2,-0.16
