relvolume,low,symbol,high,percentchange,open,price,watchers,hourchange,sentiment
0.2597,457.495,NOC,462.27,0.1427,459.38,459.655,8021,0,25.0
0.4631,278.41,MSFT,280.65,1.6386,278.96,279.74,442530,0,-1.71
0.5868,265.97,NVDA,270.6697,2.1787,268.25,269.854,420470,0,-1.37
0.4088,202.54,META,205.39,2.2723,203.56,205.24,512243,1,0.12
0.6419,191.385,ENPH,205.77,5.7733,196.75,204.6925,37308,1,-0.62
0.5986,189.44,TSLA,195.28,1.6914,193.13,192.39,889638,9,0.48
0.4931,159.35,AAPL,160.65,1.7507,159.37,160.41,876718,11,-0.3
0.35,129.18,IBM,130.348,0.2938,130.12,129.72,51343,-1,0.76
0.7219,127.77,JPM,130.22,-0.1629,130.1,128.67,82460,1,-0.93
0.2718,118.08,EA,119.19,0.9875,118.08,119.1855,20708,-1,0.0
0.5001,100.655,GOOGL,102.43,0.2821,102.28,101.315,159836,0,4.31
0.5232,98.5801,AMZN,100.29,2.9926,98.69,100.15,587352,2,1.22
0.6933,94.87,AMD,96.91,1.7661,96.07,96.23,456332,0,-0.21
0.8039,86.74,SONY,87.815,2.2664,86.93,87.765,2084,0,0.0
1.252,29.789,INTC,31.65,8.0232,29.77,31.64,130911,8,7.05
0.1913,7.37,CVNA,7.78,5.231,7.47,7.745,23365,1,-7.63
0.5831,5.65,SOFI,5.9199,4.1145,5.69,5.82,91762,2,-1.08
0.6961,4.83,AMC,5.2084,-3.5243,5.14,4.9685,412480,-5,-0.59
