high,open,symbol,percentchange,relvolume,low,price,watchers,hourchange,sentiment
162.36,162.35,AAPL,-0.7591,0.6091,160.51,160.8,877596,11,-3.9
100.99,100.8,AMZN,-2.2022,0.8239,99.01,99.92,588171,5,-5.7
128.94,128.3,JPM,0.4926,0.6398,127.54,128.52,82601,0,1.62
476.12,476.12,NOC,-1.7354,0.5013,467.525,468.27,8038,-1,13.33
126.25,125.13,EA,0.0478,0.4521,124.74,125.68,20704,0,-13.64
10.85,9.79,CVNA,4.8335,0.7987,9.6,9.76,23334,0,12.36
5.63,5.45,AMC,3.626,0.9069,5.25,5.43,413162,2,4.6
285.87,285.75,MSFT,-2.2668,0.7591,281.64,282.83,443228,6,-2.0
199.04,195.9,ENPH,0.5516,0.3554,193.14,196.88,37408,0,-0.55
131.105,130.58,IBM,-0.4655,0.4743,130.18,130.42,51365,0,-0.43
106.73,106.55,GOOGL,-1.0241,0.583,104.68,105.35,160321,6,-0.26
89.49,89.24,SONY,0.4519,0.5067,88.83,88.91,2089,0,0.0
96.065,96.06,AMD,-1.5186,0.7947,92.7,94.03,456721,4,3.18
33.11,32.66,INTC,-0.5228,0.4705,32.32,32.35,131220,-1,-9.79
6.02,5.91,SOFI,1.0152,0.662,5.86,5.97,91911,-1,2.72
277.89,277.235,NVDA,-1.4866,0.5674,271.26,271.69,421370,7,1.17
189.19,186.69,TSLA,1.2357,0.6665,185.65,186.79,891135,14,0.49
216.02,215.48,META,-0.4191,0.4677,213.43,213.85,512721,1,-3.01
