symbol,price,relvolume,percentchange,open,high,low,watchers,hourchange,sentiment
GOOGL,100.89,0.6807,-0.4931,100.91,101.155,99.78,159881,0,3.75
SOFI,5.72,0.6344,-0.5217,5.87,5.93,5.62,91769,-6,-0.21
INTC,32.09,1.4198,1.8084,31.85,32.58,31.81,131051,-4,9.96
AMD,97.88,0.8812,1.8628,98.0,99.53,97.25,456364,0,-1.07
AMZN,102.0,0.6777,1.7456,101.55,103.04,101.01,587436,2,5.02
NOC,460.98,0.3938,-0.1278,460.46,462.865,458.615,8023,0,0.0
IBM,129.22,0.5487,-0.3778,130.16,131.48,129.1,51348,0,8.71
EA,119.1,0.5217,-0.0755,120.0,120.05,118.85,20710,0,5.56
MSFT,284.05,0.6427,1.262,284.23,284.46,281.5,442596,3,2.12
SONY,89.31,1.4544,1.6388,88.7,89.53,88.64,2082,1,0.0
TSLA,195.28,0.6092,0.7221,195.58,197.328,194.42,889736,-2,5.7
CVNA,8.83,0.5721,12.1982,8.08,9.0,8.0748,23364,-2,-5.37
AMC,4.97,0.5325,-0.6,5.11,5.16,4.87,412480,-10,0.95
NVDA,273.83,0.6652,1.4787,272.29,274.99,271.02,420566,1,5.05
ENPH,205.27,0.6629,0.6472,209.435,214.19,203.96,37321,2,-2.15
AAPL,162.36,0.5827,0.989,161.53,162.47,161.271,876782,7,5.16
JPM,128.75,0.7826,-0.302,129.95,130.12,127.65,82474,-1,2.99
META,207.84,0.6432,1.2126,203.38,208.09,202.85,512294,0,6.27
