relvolume,symbol,open,high,price,percentchange,low,watchers,hourchange,sentiment
1.2376,GOOGL,100.26,102.835,101.62,1.2959,100.1,159508,8,1.8
1.0943,INTC,29.92,30.56,29.81,-1.226,29.44,130790,-1,-3.05
0.9896,AAPL,156.08,156.74,155.0,-0.5454,154.28,875791,15,5.25
1.0052,SONY,87.25,87.445,86.52,0.1505,86.19,2077,0,33.33
1.684,ENPH,200.7,200.7,183.64,-8.6822,181.55,37095,9,-3.83
1.3828,NVDA,259.82,263.99,257.25,0.7204,256.68,419172,3,4.19
0.4207,CVNA,7.21,7.9,7.65,3.2389,7.02,23307,0,0.95
2.0994,IBM,124.08,124.52,123.69,-0.8099,122.93,51322,0,6.08
0.6722,TSLA,184.515,186.21,180.13,-2.1724,177.33,888615,10,2.68
1.4973,AMD,96.66,98.75,97.84,1.2836,95.94,455814,0,1.38
2.2173,JPM,128.38,128.48,125.81,-3.7782,125.45,82027,0,4.98
1.116,META,200.56,201.9,195.61,-4.5479,195.4304,511604,0,-0.47
1.7577,MSFT,278.26,283.33,279.43,1.1694,276.3201,441729,6,0.25
0.7406,EA,113.65,114.0,113.35,-0.1585,112.98,20736,0,-25.0
0.6642,SOFI,5.47,5.54,5.46,0.1835,5.33,91544,3,5.24
0.6185,AMC,4.3,4.34,4.18,-4.7836,4.1078,411733,7,0.06
0.8804,NOC,449.81,450.16,443.6,-1.4551,441.305,7997,1,1.11
0.8764,AMZN,99.79,100.65,98.95,-1.0896,97.455,586541,7,2.83
