open,relvolume,price,symbol,low,high,percentchange,watchers,hourchange,sentiment
129.05,0.504,129.11,EA,128.695,130.12,0.2407,20702,0,25.0
269.52,0.644,271.19,NVDA,267.2301,271.83,0.0553,422040,0,1.17
285.01,0.5756,285.76,MSFT,283.0608,286.26,-0.1223,443714,-6,-1.79
126.0,1.0535,125.73,IBM,125.27,126.69,-0.4986,51487,0,1.75
165.05,0.7882,165.02,AAPL,164.5,166.45,-0.9781,878307,-3,-1.67
210.21,0.5292,212.89,META,209.76,213.41,-0.0845,513008,3,-1.19
89.8,0.6306,88.43,AMD,88.055,89.72,-1.8644,456946,4,0.47
106.1,1.2806,106.96,AMZN,105.08,108.15,3.0344,588947,7,0.38
164.8,0.7409,165.08,TSLA,161.33,166.0,1.2823,892741,-6,1.13
105.47,0.5543,105.41,GOOGL,104.79,106.0,0.114,160609,3,-1.19
7.97,0.2397,8.14,CVNA,7.735,8.29,1.75,23256,-1,0.14
223.75,0.5057,223.61,ENPH,219.9,226.77,-0.5249,37490,0,1.8
5.9,0.4494,5.94,SOFI,5.85,5.99,0.3378,91964,2,0.01
91.87,0.7484,92.05,SONY,91.61,92.38,0.7332,2089,0,0.0
475.72,0.6011,471.99,NOC,468.84,474.875,-0.4618,8044,0,1.43
4.94,0.3518,4.99,AMC,4.91,5.07,0.4024,413189,2,0.48
30.84,0.5032,30.3,INTC,30.225,30.79,-1.8146,131284,-2,-1.16
139.74,0.6957,140.54,JPM,138.78,141.11,-0.1917,82973,0,-3.92
