low,symbol,open,relvolume,percentchange,high,price,watchers,hourchange,sentiment
89.75,SONY,89.77,1.4706,1.5004,90.92,90.65,2084,0,0.0
271.05,NVDA,271.4,0.7758,1.4388,278.34,277.77,420627,1,4.48
205.81,ENPH,206.02,0.544,2.4407,212.12,210.28,37335,-1,0.71
129.42,IBM,129.47,0.5809,1.4471,131.23,131.09,51344,0,2.22
459.45,NOC,462.98,0.4159,0.1605,463.32,461.72,8029,0,0.0
4.87,AMC,4.91,0.4763,0.8048,5.055,5.01,412472,3,0.11
5.67,SOFI,5.75,1.0566,6.1189,6.17,6.07,91781,-1,1.89
206.77,META,207.24,0.653,1.9727,212.17,211.94,512333,0,4.06
31.74,INTC,31.8,1.0575,1.8074,32.8998,32.67,131091,2,0.48
95.27,AMD,96.34,0.8317,0.1328,98.36,98.01,456388,-1,3.83
162.13,AAPL,162.44,0.7363,1.5644,165.0,164.9,876839,0,4.95
197.23,TSLA,197.53,0.9318,6.2372,207.79,207.46,889882,6,8.14
8.77,CVNA,8.9,0.475,10.872,9.79,9.79,23371,1,6.73
283.03,MSFT,283.73,0.7248,1.4962,288.81,288.3,442662,0,2.36
118.985,EA,119.38,0.6957,1.1335,120.53,120.45,20709,0,0.0
128.8514,JPM,129.66,0.7219,1.2117,130.34,130.31,82481,0,-2.7
101.05,GOOGL,101.3,0.6778,2.8149,103.89,103.73,159925,-1,2.66
101.95,AMZN,102.16,0.6381,1.2647,103.42,103.29,587497,5,3.18
