low,symbol,price,open,relvolume,percentchange,high,watchers,hourchange,sentiment
475.77,NOC,481.16,475.74,0.4139,1.3416,483.31,8041,0,-17.86
287.02,MSFT,287.83,291.57,0.3932,-0.3359,291.6,443599,0,3.61
275.25,NVDA,275.54,275.335,0.9281,2.0443,281.0802,421809,8,-0.33
222.23,ENPH,226.39,225.43,0.6423,0.6536,231.31,37486,3,-1.64
216.215,META,218.01,219.91,0.2691,-0.3884,220.44,512934,2,-0.12
183.5887,TSLA,184.895,187.15,0.4259,-1.1468,187.69,891741,0,-0.83
165.65,AAPL,166.18,166.1,0.468,0.575,167.41,878073,4,3.12
139.03,JPM,141.44,140.27,0.5824,1.1514,141.725,82985,1,0.17
127.82,EA,129.3,128.81,0.2429,0.9525,129.3,20706,0,0.0
127.35,IBM,128.0389,128.14,0.2822,0.1713,128.68,51378,0,-1.59
104.4,GOOGL,104.81,106.49,0.433,-1.0946,106.515,160548,0,-1.33
101.77,AMZN,102.0366,103.95,0.3836,-0.6846,104.2,588640,2,2.06
90.995,SONY,91.1,91.57,0.4974,-0.0549,91.86,2086,-2,0.0
89.67,AMD,89.715,91.61,0.5586,-0.1725,92.16,456861,-5,0.12
31.8,INTC,31.925,32.43,0.2821,-0.6689,32.46,131272,-1,-0.84
8.76,CVNA,8.87,9.22,0.2015,-2.0971,9.285,23308,0,-3.62
5.895,SOFI,5.9387,6.0,0.3315,-0.3574,6.02,91917,-1,-0.41
4.98,AMC,5.069,5.23,0.2629,-2.5192,5.212,413185,0,-1.62
