open,price,percentchange,relvolume,low,high,symbol,watchers,hourchange,sentiment
91.82,91.75,-0.3692,0.5911,90.5,92.97,AMD,456770,2,-0.1
470.55,472.57,-0.3353,0.3372,468.765,473.09,NOC,8040,-1,13.33
287.0,286.14,-1.2766,0.5743,283.69,288.48,MSFT,443399,3,-0.53
9.47,8.97,-4.2689,0.3345,8.68,9.798,CVNA,23324,-4,-2.06
265.04,267.58,1.1148,0.7461,262.2,268.83,NVDA,421595,5,-1.17
217.88,221.49,0.5174,0.6378,217.56,222.11,META,512854,4,0.74
128.46,128.14,0.1876,0.6373,127.31,129.84,IBM,51370,0,-6.94
102.07,102.51,0.1074,0.7199,101.11,103.2013,AMZN,588470,2,0.81
135.15,138.73,7.551,3.0765,134.9001,139.12,JPM,82932,2,6.75
106.89,108.87,1.3404,0.566,106.88,108.935,GOOGL,160400,-4,-1.51
164.59,165.21,-0.2114,0.6406,163.83,166.32,AAPL,877855,3,1.39
127.98,127.87,-0.3196,0.4028,127.45,128.53,EA,20705,0,10.0
209.77,208.9,-0.3767,0.6939,204.67,214.57,ENPH,37422,-1,-3.12
183.95,185.0,-0.4841,0.5598,182.01,186.28,TSLA,891426,-1,0.26
90.85,90.86,0.4089,0.8867,90.412,91.46,SONY,2088,0,0.0
32.0,31.89,-0.747,0.4201,31.69,32.235,INTC,131240,0,-1.8
5.99,5.92,1.0239,0.6398,5.77,6.03,SOFI,91899,0,-0.69
5.74,5.12,-6.2271,0.9005,4.9,5.75,AMC,413215,1,-0.34
