low,symbol,price,open,high,relvolume,percentchange,watchers,hourchange,sentiment
187.15,TSLA,190.41,191.65,192.36,0.6231,-0.9416,889279,1,-1.27
86.96,SONY,87.53,88.3,88.3,1.3895,-0.8383,2082,0,0.0
443.105,NOC,455.25,445.08,456.2,0.7919,2.4323,8013,0,-10.23
263.55,NVDA,267.79,270.31,271.67,0.8619,-1.5152,420196,7,-1.2
275.3,MSFT,280.57,277.24,280.63,0.7429,1.048,442245,2,0.18
157.85,AAPL,160.25,158.86,160.34,0.6983,0.8306,876391,4,-1.54
7.95,CVNA,8.19,8.18,8.47,0.2716,-1.9162,23419,-4,-0.9
96.74,AMD,97.95,99.18,99.52,1.0179,-2.3235,456182,-1,-3.01
192.46,ENPH,195.99,202.35,203.55,0.8771,-4.2363,37275,-2,4.44
122.89,IBM,125.29,123.36,125.4,0.6283,1.5563,51325,0,-3.23
117.61,EA,119.03,118.08,119.205,0.8715,2.5767,20720,0,7.14
4.38,AMC,4.47,4.4,4.54,0.283,0.0,411919,-5,-0.07
5.645,SOFI,5.74,5.675,5.83,0.4643,-0.692,91704,-1,-0.59
28.93,INTC,29.36,29.04,29.81,1.0801,1.1368,130868,-3,0.39
96.4,AMZN,98.13,98.065,98.295,0.6949,-0.5876,587042,1,-1.1
203.55,META,206.01,205.18,207.574,0.7884,0.8469,512046,1,2.85
123.1163,JPM,124.91,125.63,125.68,1.496,-1.5216,82368,5,0.58
103.84,GOOGL,105.44,104.99,105.49,0.6651,-0.1515,159716,-1,-3.03
