low,symbol,high,price,relvolume,open,percentchange,watchers,hourchange,sentiment
468.84,NOC,474.875,470.66,0.364,475.72,-0.7423,8044,0,-4.62
283.0608,MSFT,286.26,285.29,0.5483,285.01,-0.2866,443714,0,0.44
267.2301,NVDA,271.44,270.43,0.6091,269.52,-0.2251,422041,-2,1.57
219.9,ENPH,226.77,223.965,0.4497,223.75,-0.367,37486,3,3.16
209.76,META,213.41,212.33,0.5068,210.21,-0.3473,513000,1,0.2
161.33,TSLA,166.0,165.015,0.721,164.8,1.2424,892724,10,0.22
164.5,AAPL,166.45,164.835,0.7374,165.05,-1.0891,15,1,-1.99
138.78,JPM,141.11,140.64,0.6278,139.74,-0.1207,82974,-4,-2.64
128.83,EA,130.12,128.96,0.426,129.05,0.1242,20703,0,0.0
125.27,IBM,126.69,125.605,0.9739,126.0,-0.5975,51490,4,-0.13
105.08,AMZN,108.15,106.9,1.2249,106.1,2.9766,588920,0,0.33
104.79,GOOGL,106.0,105.03,0.4967,105.47,-0.2469,160602,1,0.24
91.61,SONY,92.38,92.065,0.6868,91.87,0.7496,2089,0,0.0
88.055,AMD,89.72,88.22,0.595,89.8,-2.0974,456943,3,1.92
30.225,INTC,30.79,30.3,0.4237,30.84,-1.8146,131284,-7,-1.05
7.735,CVNA,8.29,8.065,0.224,7.97,0.8125,23257,-3,-2.84
5.85,SOFI,5.99,5.925,0.4026,5.9,0.0845,91960,1,-0.39
4.91,AMC,5.07,4.975,0.3222,4.94,0.1006,413185,0,-0.6
