price,open,high,symbol,relvolume,percentchange,low,watchers,hourchange,sentiment
454.9375,445.08,456.2,NOC,0.7071,2.362,443.105,8013,-1,-5.0
279.91,277.24,280.28,MSFT,0.6888,0.8103,275.3,442238,2,-2.65
267.53,270.31,271.67,NVDA,0.8251,-1.6108,263.55,420185,0,-1.19
205.98,205.18,207.574,META,0.7536,0.8322,203.55,512060,6,-0.91
195.23,202.35,203.55,ENPH,0.8171,-4.6076,192.46,37274,2,4.85
189.82,191.65,192.36,TSLA,0.6061,-1.2486,187.15,889277,1,-1.76
159.86,158.86,160.06,AAPL,0.6575,0.5852,157.85,876381,7,-2.83
124.895,123.36,124.97,IBM,0.5456,1.2361,122.89,51325,-1,-0.54
124.85,125.63,125.68,JPM,1.396,-1.5689,123.1163,82363,1,-0.86
118.93,118.08,119.205,EA,0.7538,2.4905,117.61,20719,0,7.14
105.28,104.99,105.385,GOOGL,0.5902,-0.303,103.84,159715,0,-4.66
97.96,98.065,98.295,AMZN,0.6622,-0.7598,96.4,587040,2,-1.4
97.8,99.18,99.52,AMD,0.9794,-2.4731,96.74,456188,2,-3.33
87.595,88.3,88.3,SONY,1.2496,-0.7647,86.96,2082,0,0.0
29.33,29.04,29.81,INTC,0.9595,1.0334,28.93,130869,-1,-1.71
8.23,8.18,8.47,CVNA,0.2566,-1.4371,7.95,23423,0,-1.35
5.745,5.675,5.83,SOFI,0.4234,-0.6055,5.645,91705,1,-0.2
4.415,4.4,4.54,AMC,0.2661,-1.2304,4.38,411924,-4,-0.03
