open,symbol,low,percentchange,price,relvolume,high,watchers,hourchange,sentiment
463.3,NOC,462.72,1.8074,470.065,0.3757,471.55,8031,1,0.0
286.52,MSFT,283.95,-0.5307,286.77,0.597,288.27,442828,0,-1.21
275.09,NVDA,273.36,0.45,279.02,0.666,279.91,420821,2,0.05
208.84,META,208.2001,0.3822,212.75,0.4496,213.32,512447,3,0.11
213.98,ENPH,201.6293,-3.443,203.04,0.7109,215.8856,37369,-1,1.5
199.91,TSLA,192.2,-6.2663,194.46,0.9054,202.6897,890319,16,-1.76
164.27,AAPL,164.27,0.5973,165.885,0.6145,165.99,877070,11,0.48
130.97,IBM,130.77,0.7857,132.12,0.4,132.61,51351,0,2.08
129.91,JPM,129.41,0.0307,130.35,0.522,131.43,82511,1,4.35
120.14,EA,119.6,0.8717,121.5,0.4874,121.65,20708,0,0.0
102.39,GOOGL,102.11,0.2362,103.975,0.4422,104.07,160009,3,1.42
102.3,AMZN,101.43,-0.973,102.285,0.4871,103.29,587675,1,1.17
96.695,AMD,94.81,-1.7753,96.27,0.6955,96.79,456505,5,-1.17
90.41,SONY,90.455,0.5019,91.105,0.8421,91.13,2089,0,0.0
32.94,INTC,32.54,0.4132,32.805,0.965,33.56,131140,-4,-0.19
9.64,CVNA,9.085,-5.3115,9.27,0.4647,10.16,23361,10,0.88
6.14,SOFI,5.94,-0.9061,6.015,0.7498,6.275,91846,3,-1.17
4.99,AMC,4.94,0.8982,5.055,0.4592,5.145,412503,-1,0.2
