symbol,price,open,percentchange,high,low,relvolume,watchers,hourchange,sentiment
NOC,472.57,470.55,-0.3353,473.09,468.765,0.3372,8041,0,13.33
CVNA,8.97,9.47,-4.2689,9.8,8.68,0.3345,23328,-2,-1.25
META,221.49,217.88,0.5174,222.11,217.56,0.6378,512850,14,0.74
IBM,128.14,128.46,0.1876,129.84,127.31,0.6373,51370,0,-6.94
AMZN,102.51,102.07,0.1074,103.2013,101.11,0.7199,588468,1,0.4
JPM,138.73,135.15,7.551,139.12,134.9001,3.0765,82930,8,6.88
GOOGL,108.87,106.89,1.3404,108.935,106.88,0.566,160404,1,-2.01
AAPL,165.21,164.59,-0.2114,166.32,163.83,0.6406,877852,4,1.29
EA,127.87,127.98,-0.3196,128.53,127.45,0.4028,20705,0,10.0
SONY,90.86,90.85,0.4089,91.46,90.412,0.8867,2088,0,0.0
ENPH,208.9,209.77,-0.3767,214.57,204.67,0.6939,37423,0,-3.47
TSLA,185.0,183.95,-0.4841,186.28,182.01,0.5598,891427,4,0.27
INTC,31.89,32.0,-0.747,32.235,31.69,0.4201,131240,1,-2.29
SOFI,5.92,5.99,1.0239,6.03,5.77,0.6398,91899,-4,-0.49
AMC,5.12,5.74,-6.2271,5.76,4.9,0.9005,413214,-3,-0.31
AMD,91.75,91.82,-0.3692,92.97,90.5,0.5911,456768,3,-0.01
MSFT,286.14,287.0,-1.2766,288.48,283.69,0.5743,443396,2,-0.68
NVDA,267.58,265.04,1.1148,268.83,262.2,0.7461,421590,4,-1.09
