open,percentchange,symbol,relvolume,price,low,high,watchers,hourchange,sentiment
214.71,-0.6247,META,0.4571,214.75,210.66,215.66,512693,1,-1.25
124.79,0.3675,EA,0.3892,125.62,123.74,125.8,20703,0,4.44
32.6,-0.8839,INTC,0.4854,32.52,32.2,32.76,131215,1,-0.52
129.83,0.4061,IBM,0.3796,131.03,129.24,131.08,51363,0,-1.29
9.0,3.3296,CVNA,0.3262,9.31,8.62,9.35,23316,0,3.61
289.208,-0.7579,MSFT,0.6369,289.39,284.72,289.6,443172,2,-1.14
179.94,-0.2972,TSLA,0.8207,184.51,176.11,185.0994,891057,0,-0.27
100.96,0.1078,AMZN,0.5167,102.17,99.57,102.2,588100,2,-1.79
189.09,2.5131,ENPH,0.4136,195.8,188.51,195.9,37410,2,-1.93
4.77,6.9388,AMC,1.2692,5.24,4.74,5.37,413138,0,1.96
470.98,1.3074,NOC,0.4565,476.54,470.98,478.17,8041,0,-16.67
91.32,3.2551,AMD,0.7903,95.48,91.02,95.79,456699,-1,8.35
268.23,2.0047,NVDA,0.7128,275.79,266.69,276.2099,421322,1,1.73
5.69,2.7826,SOFI,0.5343,5.91,5.66,5.92,91904,1,0.75
161.42,-1.5972,AAPL,0.6369,162.03,160.08,162.03,877534,2,-4.79
126.54,0.3295,JPM,0.5624,127.89,126.22,128.23,82596,-1,-2.66
106.98,-1.8262,GOOGL,0.6059,106.44,105.12,107.59,160304,0,0.19
87.76,0.3856,SONY,0.4657,88.51,87.73,88.52,2088,0,0.0
