price,open,high,percentchange,low,symbol,relvolume,watchers,hourchange,sentiment
4.27,4.25,4.38,2.1531,4.14,AMC,0.4546,411726,0,-0.43
449.26,445.27,452.2,1.2759,445.36,NOC,0.4475,8003,0,8.33
183.25,178.08,186.44,1.7321,176.35,TSLA,0.6925,888858,2,-0.39
101.22,100.12,101.75,-0.3936,99.88,GOOGL,0.7301,159582,1,-0.64
88.42,87.52,89.16,2.196,87.33,SONY,1.1668,2079,0,0.0
192.51,189.59,196.88,4.8301,185.2,ENPH,1.1646,37209,-3,1.58
157.4,155.07,157.81,1.5484,154.15,AAPL,0.8489,876027,1,-0.2
29.16,29.8,29.9,-2.1805,28.63,INTC,0.7742,130824,3,-1.08
259.0,256.15,260.24,0.6803,251.3,NVDA,0.819,419430,2,0.65
125.94,124.31,126.1508,1.8191,124.19,IBM,0.7973,51327,0,1.06
5.22,5.47,5.54,-4.3956,5.19,SOFI,0.8466,91589,1,1.08
197.81,198.48,199.36,1.1247,193.64,META,0.723,511736,4,1.16
113.52,113.01,114.28,0.15,113.01,EA,0.5323,20731,1,33.33
97.71,98.41,98.48,-1.2532,95.7,AMZN,0.7742,586764,7,0.79
7.07,7.43,7.81,-7.5817,6.87,CVNA,0.3366,23279,3,-1.62
272.23,276.98,277.48,-2.5767,269.85,MSFT,1.2161,441941,1,0.02
127.14,126.99,129.46,1.0571,126.01,JPM,1.609,82205,-7,0.76
96.81,96.3,96.94,-1.0527,92.9,AMD,1.5349,455937,0,-0.84
