relvolume,symbol,low,high,percentchange,open,price,watchers,hourchange,sentiment
0.602,MSFT,283.17,289.9,2.2399,283.59,289.84,443344,6,-0.62
0.7779,JPM,126.84,129.035,0.3813,128.46,128.99,82689,16,-0.48
0.3826,NOC,469.78,476.065,0.294,472.0,474.16,8037,0,-8.57
0.5437,SOFI,5.825,5.98,0.6873,5.91,5.86,91912,-1,1.13
0.474,INTC,31.65,32.4252,0.3435,31.82,32.13,131231,1,3.64
0.5101,GOOGL,105.9,107.49,2.6663,105.84,107.43,160364,0,-0.54
0.4634,EA,126.58,128.72,1.7046,126.58,128.28,20703,0,6.67
0.6771,META,215.82,221.15,2.9673,215.73,220.35,512791,0,2.16
0.7734,SONY,90.0,90.83,1.174,90.1,90.49,2088,0,0.0
0.6485,TSLA,180.94,186.5,2.9689,182.955,185.9,891320,7,0.62
0.6105,AMD,91.83,93.16,-0.2599,92.79,92.09,456762,8,2.37
0.9909,ENPH,198.52,211.55,6.9683,200.01,209.69,37416,0,-3.55
0.5092,AMC,5.39,5.66,2.2472,5.48,5.46,413217,0,-3.25
0.8567,AAPL,161.44,165.8,3.4104,161.63,165.56,877738,0,2.73
0.6485,NVDA,263.29,268.869,-0.1208,267.34,264.63,421494,3,-2.16
0.8901,IBM,126.01,128.39,-0.4979,128.01,127.9,51363,-2,6.11
0.3162,CVNA,9.201,9.76,1.4069,9.27,9.37,23334,0,0.89
0.9312,AMZN,98.73,102.56,4.6714,98.95,102.4,588374,9,4.91
