symbol,high,percentchange,relvolume,price,low,open,watchers,hourchange,sentiment
AMZN,103.91,-2.7417,0.5813,101.1,100.7506,103.91,587863,2,-0.27
AAPL,165.05,-1.129,0.6702,163.76,161.8,164.74,877251,-1,-9.65
CVNA,9.38,-10.5263,0.3189,8.5,8.39,9.38,23332,1,-2.07
EA,126.27,0.7266,0.7325,126.15,124.85,125.24,20706,0,0.0
AMD,94.5,-3.4526,0.7872,92.56,91.36,94.35,456579,5,-1.91
NOC,473.58,0.6003,0.5536,470.91,467.85,467.22,8036,0,0.0
JPM,128.14,0.1491,0.609,127.61,126.46,126.8,82525,-1,0.4
AMC,4.09,3.5806,0.7224,4.05,3.94,4.07,412883,-7,-0.81
NVDA,269.98,-2.0836,0.9568,268.81,263.95,268.29,421050,-1,-4.0
MSFT,287.145,-0.9889,0.5843,284.34,282.95,285.85,442947,4,-4.68
META,215.19,-1.5089,0.5446,211.48,209.95,214.15,512546,-3,-3.86
TSLA,190.68,-3.666,0.7518,185.52,183.76,190.515,890603,3,-1.35
SONY,90.02,-1.4943,0.7198,89.65,89.53,89.9,2087,0,0.0
GOOGL,106.1,-0.2387,0.6109,104.47,103.66,105.78,160105,-4,0.33
IBM,132.61,0.4103,0.4187,132.14,131.47,131.37,51366,1,0.0
SOFI,5.87,-2.5467,0.786,5.74,5.5801,5.87,91868,-1,0.89
INTC,32.985,-0.8157,0.7132,32.83,32.335,32.795,131189,0,-0.93
ENPH,201.62,-4.3794,0.8384,193.67,187.73,200.0,37380,1,0.91
