high,open,symbol,price,low,relvolume,percentchange,watchers,hourchange,sentiment
165.8,161.63,AAPL,165.56,161.44,0.8567,3.4104,877752,9,4.25
128.39,128.01,IBM,127.9,126.01,0.8901,-0.4979,51365,1,6.94
102.56,98.95,AMZN,102.4,98.73,0.9312,4.6714,588378,1,4.69
289.9,283.59,MSFT,289.84,283.17,0.602,2.2399,443354,4,0.83
9.76,9.27,CVNA,9.37,9.201,0.3162,1.4069,23338,0,1.75
5.98,5.91,SOFI,5.86,5.825,0.5437,0.6873,91912,1,2.23
129.035,128.46,JPM,128.99,126.84,0.7779,0.3813,82724,12,5.21
476.065,472.0,NOC,474.16,469.78,0.3826,0.294,8038,0,-16.67
32.4252,31.82,INTC,32.13,31.65,0.474,0.3435,131233,1,4.48
90.83,90.1,SONY,90.49,90.0,0.7734,1.174,2088,0,0.0
128.72,126.58,EA,128.28,126.58,0.4634,1.7046,20703,0,6.67
107.49,105.84,GOOGL,107.43,105.9,0.5101,2.6663,160358,0,-1.99
186.5,182.955,TSLA,185.9,180.94,0.6485,2.9689,891316,2,1.06
221.15,215.73,META,220.35,215.82,0.6771,2.9673,512797,4,2.53
211.55,200.01,ENPH,209.69,198.52,0.9909,6.9683,37423,0,-4.82
93.16,92.79,AMD,92.09,91.83,0.6105,-0.2599,456763,3,1.01
268.869,267.34,NVDA,264.63,263.29,0.6485,-0.1208,421515,3,-2.68
5.66,5.48,AMC,5.46,5.39,0.5092,2.2472,413219,3,-3.19
