low,high,symbol,price,open,percentchange,relvolume,watchers,hourchange,sentiment
284.54,289.05,MSFT,288.45,285.99,0.0277,0.4744,443657,1,5.45
222.3,228.49,ENPH,224.27,225.06,-1.5798,0.5032,37473,1,-0.57
177.65,183.5,TSLA,180.59,179.1,-2.0183,0.6315,892165,24,-4.74
5.87,6.1,SOFI,6.08,5.9,1.6722,0.4953,91959,0,1.92
31.0828,31.52,INTC,31.15,31.1,-2.1363,0.4343,131285,4,1.89
8.3,8.84,CVNA,8.63,8.6,-1.9318,0.2952,23286,5,-1.5
90.73,91.12,SONY,90.97,91.0,-0.3724,0.5063,2089,0,0.0
4.92,5.17,AMC,5.1,4.95,0.9901,0.3154,413188,0,-0.52
165.54,168.16,AAPL,167.63,165.8,0.6968,0.6395,878196,0,5.73
272.32,280.0,NVDA,279.31,273.61,0.9542,0.6812,421930,5,5.4
476.24,482.74,NOC,477.07,480.46,-0.5006,0.4242,8043,0,3.33
101.39,105.12,AMZN,104.3,101.58,1.955,0.8364,588753,0,2.43
88.22,90.54,AMD,89.94,88.51,0.1782,0.5543,456906,2,0.16
103.07,104.98,GOOGL,104.18,103.58,-0.3062,0.4564,160563,0,0.06
125.3,126.98,IBM,126.32,126.5,-1.1426,0.9493,51454,5,-3.05
212.94,217.33,META,215.7,213.472,-1.0051,0.4728,512956,3,3.52
128.075,128.9,EA,128.18,128.58,-0.6665,0.3668,20704,0,10.0
140.41,141.5,JPM,141.22,141.23,-0.1273,0.5763,82986,0,0.49
