percentchange,symbol,price,low,relvolume,open,high,watchers,hourchange,sentiment
0.7266,EA,126.15,124.85,0.7325,125.24,126.27,20706,0,10.71
-3.4526,AMD,92.56,91.36,0.7872,94.35,94.5,456579,0,-1.55
-1.129,AAPL,163.76,161.8,0.6702,164.74,165.05,877257,4,-9.16
-10.5263,CVNA,8.5,8.39,0.3189,9.38,9.38,23331,1,-1.66
0.6003,NOC,470.91,467.22,0.5536,467.22,473.6,8036,0,0.0
3.5806,AMC,4.05,3.94,0.7224,4.07,4.09,412887,4,-0.73
-2.0836,NVDA,268.81,263.95,0.9568,268.29,269.98,421057,3,-3.53
0.1491,JPM,127.61,126.46,0.609,126.8,128.15,82525,0,0.35
-3.666,TSLA,185.52,183.76,0.7518,190.515,190.68,890617,8,-1.36
-1.5089,META,211.48,209.95,0.5446,214.15,215.19,512545,0,-4.3
-0.9889,MSFT,284.34,282.95,0.5843,285.85,287.145,442945,-1,-4.56
-1.4943,SONY,89.65,89.5312,0.7198,89.9,90.02,2087,0,0.0
0.4103,IBM,132.14,131.37,0.4187,131.37,132.61,51366,0,0.0
-0.2387,GOOGL,104.47,103.66,0.6109,105.78,106.1,160103,0,-0.18
-2.5467,SOFI,5.74,5.5801,0.786,5.87,5.87,91872,4,0.68
-0.8157,INTC,32.83,32.335,0.7132,32.795,32.985,131190,0,-1.83
-4.3794,ENPH,193.67,187.73,0.8384,200.0,201.62,37381,1,0.45
-2.7417,AMZN,101.1,100.7506,0.5813,103.91,103.91,587872,4,-0.95
