relvolume,percentchange,open,price,high,symbol,low,watchers,hourchange,sentiment
0.3366,-7.5817,7.43,7.07,7.82,CVNA,6.87,23276,-3,-1.45
1.2161,-2.5767,276.98,272.23,277.48,MSFT,269.85,441940,0,0.19
1.5349,-1.0527,96.3,96.81,96.94,AMD,92.9,455937,0,-0.82
1.609,1.0571,126.99,127.14,129.47,JPM,126.01,82212,1,0.88
0.7742,-1.2532,98.41,97.71,98.48,AMZN,95.7,586757,0,0.92
0.4475,1.2759,445.27,449.26,452.31,NOC,445.005,8003,0,8.33
0.4546,2.1531,4.25,4.27,4.38,AMC,4.14,411726,1,-0.43
0.6925,1.7321,178.08,183.25,186.44,TSLA,176.35,888856,-1,-0.19
0.7301,-0.3936,100.12,101.22,101.75,GOOGL,99.88,159581,-1,-0.64
1.1668,2.196,87.52,88.42,89.16,SONY,87.33,2079,0,0.0
0.8489,1.5484,155.07,157.4,157.81,AAPL,154.15,876026,1,-0.1
1.1646,4.8301,189.59,192.51,196.88,ENPH,185.2,37212,3,1.32
0.7742,-2.1805,29.8,29.16,29.9,INTC,28.63,130821,0,-0.99
0.819,0.6803,256.15,259.0,260.24,NVDA,251.3,419428,0,0.83
0.8466,-4.3956,5.47,5.22,5.54,SOFI,5.19,91588,10,1.1
0.7973,1.8191,124.31,125.94,126.1508,IBM,124.19,51327,0,1.06
0.5323,0.15,113.01,113.52,114.28,EA,113.01,20730,0,33.33
0.723,1.1247,198.48,197.81,199.36,META,193.64,511732,-1,1.13
