relvolume,percentchange,high,open,low,price,symbol,watchers,hourchange,sentiment
0.3013,1.3627,478.12,470.98,471.57,476.8,NOC,8041,-1,-8.33
0.5067,-0.9842,289.208,289.208,284.72,288.73,MSFT,443153,5,-1.03
0.5923,1.7532,275.9,268.23,266.69,275.11,NVDA,421301,10,1.54
0.3601,-0.5183,215.19,214.71,210.66,214.98,META,512688,2,-1.05
0.3135,1.822,194.84,189.09,188.51,194.48,ENPH,37403,0,-1.46
0.6928,-0.2054,185.09,179.94,176.11,184.6799,TSLA,891035,15,-1.29
0.5138,-1.7855,161.86,162.43,160.08,161.72,AAPL,877511,14,-2.28
0.2626,0.1341,131.02,129.83,129.24,130.675,IBM,51367,0,-0.93
0.4246,0.1255,128.22,126.54,126.22,127.63,JPM,82588,5,-2.19
0.2448,0.4554,125.75,124.79,123.74,125.73,EA,20704,0,8.08
0.4983,-1.8585,107.59,106.98,105.12,106.405,GOOGL,160288,7,-0.26
0.4142,-0.1372,102.02,100.96,99.57,101.92,AMZN,588079,10,-0.49
0.6292,3.3524,95.79,91.32,91.02,95.57,AMD,456689,7,5.97
0.2691,-0.0467,88.22,87.76,87.73,88.1288,SONY,2087,0,0.0
0.3597,-0.8077,32.76,32.6,32.2,32.545,INTC,131220,0,0.83
0.2445,2.4428,9.35,9.0,8.63,9.2301,CVNA,23319,-4,1.19
0.396,1.4783,5.855,5.69,5.66,5.835,SOFI,91903,1,0.35
1.0566,6.9388,5.37,4.77,4.74,5.24,AMC,413141,1,0.56
